sample_id,about_tesla,substitution_correct,note
anaphora-140466595-147,no,no,"generic personal investing reflection, no identifiable company"
anaphora-137591345-5,no,no,"too vague/fragmentary ('new generation of chip'), no clear company"
anaphora-139581433-5,no,no,"vague commentary on EV business broadly, 'It' ambiguous referent"
ceo_only-140443421-51,no,na,"about SpaceX (SPCX ticker), not Tesla"
coref-136888227-15,no,na,"generic, unspecified product/company"
coref-138300032-11,yes,yes,
ceo_only-136529952-10,no,na,"Musk's personal conflicts/attacks on people, not Tesla business"
ceo_only-141042850-0,no,na,"about SpaceX shares/IPO and Musk's net worth, not Tesla"
ceo_only-140420157-13,no,na,"generic 'capital-intensive futuristic business' -- could refer to any Musk venture, not confirmed Tesla"
coref-137228483-44,yes,yes,
anaphora-140458162-12,no,no,"generic requirements list, no identifying content"
coref-137908149-9,yes,yes,
ceo_only-137940242-49,no,na,garbled multi-topic fragment about Ford/GM/Musk's net worth; not substantively about Tesla
anaphora-139921783-27,yes,yes,
anaphora-141042481-10,no,no,"sounds like a renewable energy developer, not clearly Tesla"
coref-139590968-8,no,no,"generic 'operates across China, US, globally' statement, no identifying content"
anaphora-139984538-4,no,no,"about OpenAI founding (2015) and Musk-OpenAI leadership rift, not Tesla"
coref-140750588-28,yes,yes,
ceo_only-141042485-35,no,na,"generic praise, not Tesla-specific"
anaphora-137230899-37,yes,yes,
anaphora-141129157-18,no,no,"generic valuation metrics statement, no identifying content"
anaphora-139194146-23,no,no,"too generic/fragmentary ('It expires in 81 days'), no identifiable company"
anaphora-139909984-24,yes,yes,
coref-139915361-22,no,no,"generic 'delays could pressure the stock' statement, no identifying content"
coref-141122355-200,yes,no,
ceo_only-141042485-9,yes,na,
coref-141107636-38,no,no,"vague comparative robotaxi-market statement, ambiguous which company"
anaphora-139238355-36,no,no,"too generic ('remains to be seen what success looks like'), no identifiable company"
ceo_only-140438004-8,yes,na,
anaphora-141056844-33,no,no,"about ARK Invest (Cathie Wood's firm), not Tesla; subst wrongly substitutes Tesla for ARK"
coref-138404396-0,yes,yes,
ceo_only-141119665-11,yes,na,
ceo_only-139915362-6,no,na,"generic praise, not Tesla-specific"
coref-141042483-3,no,na,"'The companies did not disclose financial terms', plural, unspecified, no identifying content"
coref-136476320-16,yes,yes,
coref-137258403-13,no,no,"generic revenue statement, no identifying content"
anaphora-138299999-144,no,no,"too generic/fragmentary ('It doesn't just know the facts'), no identifiable company"
coref-136476320-19,yes,yes,
anaphora-137228479-95,no,no,"too generic/fragmentary ('It was supposed to be...'), no identifiable company"
anaphora-137235086-7,no,no,"refers to Xiaomi, not Tesla"
coref-137589125-26,no,na,"generic 'stock's valuation... risks of new product initiatives' statement, no identifying content"
anaphora-140731220-30,yes,yes,
anaphora-140117671-3,no,no,"too generic ('It's been a long time coming'), no identifiable company"
ceo_only-140772787-29,yes,na,
ceo_only-139903984-39,no,na,"ambiguous argument about limiting factors (land/sunlight), no clear Tesla identifier"
ceo_only-137878317-8,yes,na,
ceo_only-141122360-13,no,na,"generic 'Musk was unusually blunt on the call', which call unspecified"
anaphora-141134036-13,no,no,"describes an asset manager (founded 1997, AUM) -- clearly not Tesla"
anaphora-138306068-15,yes,yes,
coref-137884570-35,yes,yes,
ceo_only-136530040-8,no,na,"Musk's companies vs Apple App Store dispute (xAI's Grok), not specifically Tesla"
anaphora-140776562-16,no,no,"too generic ('could determine the market's next move'), no identifiable company"
ceo_only-141081755-0,no,na,"about SpaceX earnings report, not Tesla; garbled prefix"
ceo_only-138290190-21,no,na,"about xAI, not Tesla"
coref-139958648-0,no,na,"garbled prefix + about a California drayage operator's electric truck pilot, not Tesla"
ceo_only-140035346-34,no,na,"Musk 'jackass' joke comment, not Tesla business"
anaphora-141137164-18,yes,yes,
coref-141122355-28,yes,no,
anaphora-139566427-22,no,no,"vague quote fragment, no identifiable company"
coref-136568944-20,yes,yes,
coref-137278987-37,no,no,"generic analyst-rating statement, no identifying content"
coref-139903988-7,no,no,"generic revenue statement, no identifying content"
ceo_only-139554343-4,no,na,"'Noted,' Musk said -- no content, not about Tesla"
ceo_only-140438083-61,no,na,"generic 'Musk has legions of retail fans', not Tesla-specific"
anaphora-137908143-3,yes,no,
coref-141127412-30,yes,yes,
ceo_only-141074076-1,no,na,"Musk's X post response, personal statement, not Tesla business"
ceo_only-139163171-8,yes,na,
coref-138299999-399,no,na,"vague fragment, no identifiable company"
coref-136896896-13,yes,yes,
anaphora-138291520-8,no,no,"generic revenue decline statement, no identifying content"
coref-139598228-7,no,na,"generic percentage/volume statement, no identifying content"
ceo_only-139905684-22,yes,na,
coref-141074956-39,no,no,"generic early-startup-struggles narrative, no identifying content"
ceo_only-139908194-10,no,na,"Musk co-founder of OpenAI mention, not Tesla"
coref-141068286-13,yes,yes,
coref-141041708-17,yes,yes,
ceo_only-138310190-47,no,na,"vague 'that's sort of where Musk's mind is', no Tesla content"
anaphora-136861499-32,no,no,"generic investing-principle sentence, no company identifiable"
anaphora-139579132-11,no,no,"about OpenAI co-founder departures, not Tesla"
coref-136892576-27,yes,yes,
ceo_only-137278983-10,yes,na,
ceo_only-138479641-2,no,na,"vague Musk quote about a hypothetical device, ambiguous product"
coref-137614445-18,yes,na,
ceo_only-140465708-32,no,na,"ambiguous facility, could be xAI's Colossus datacenter not Tesla"
coref-136495989-5,yes,na,
coref-139167808-3,yes,no,
ceo_only-140419409-18,no,na,"about SpaceX shareholder structure, not Tesla"
coref-141146266-46,no,no,"generic valuation statement, no identifying content"
ceo_only-138294600-1,no,na,"about SpaceX IPO, not Tesla"
ceo_only-138412240-33,no,na,"Musk's personal wealth statement, not Tesla"
anaphora-136861508-15,yes,yes,
coref-138421135-21,yes,yes,
ceo_only-136476575-2,no,na,"about Musk's political action committee lottery lawsuit, not Tesla"
ceo_only-141074956-36,no,na,"generic 'Musk promising the moon', ambiguous which venture"
coref-139908240-25,no,na,"unclear 'Terafab' reference, insufficient info to confirm Tesla"
anaphora-136563659-6,yes,yes,
anaphora-140421245-17,yes,yes,
ceo_only-138290190-26,yes,na,
ceo_only-140059719-1,no,na,"'moves toward biggest IPO ever' -- SpaceX IPO context, not Tesla"
anaphora-141041608-30,no,no,"generic requirements list, no identifying content"
ceo_only-138932941-2,no,na,"'Musk recently claimed another milestone' -- no content, too vague"
coref-139570229-7,yes,yes,
anaphora-140474600-3,no,no,"describes products living in AI data centers -- sounds like a chipmaker, not Tesla"
coref-140776229-6,no,no,"generic EPS estimate statement, no identifying content"
anaphora-136914558-5,no,no,"generic broadcast transition line, no identifiable company"
coref-140121188-13,yes,na,
anaphora-139552962-12,no,no,"too generic/fragmentary ('It's about supply chains'), no identifiable company"
ceo_only-138297103-7,no,na,"$2B investment in Musk's xAI startup, not Tesla"
coref-137228487-7,yes,yes,
coref-139577775-27,no,no,"generic revenue-growth-vs-industry-average statement, no identifying content"
ceo_only-136478879-31,no,na,"generic headline about Musk's 'Simple Math' quote, not Tesla"
anaphora-141117195-165,no,no,"too generic/fragmentary, no identifiable company"
ceo_only-136476575-23,no,na,"article footer about Musk lawsuit/lottery case, not Tesla"
anaphora-141145314-7,no,no,"sounds like a chipmaker/foundry description, not Tesla"
ceo_only-139588667-6,no,na,"about Treasury Dept/Corporate Transparency Act and Musk's influence, not Tesla"
anaphora-139570815-24,no,no,"too generic robot-capability claim, no identifiable company"
ceo_only-139552954-7,no,na,"Musk's X platform rebrand fact, not Tesla"
ceo_only-140035346-48,no,na,"Altman/Musk social media sniping re OpenAI trial, not Tesla"
coref-136541201-1,yes,na,
coref-136557719-19,no,no,"generic 'sales in US could be bright spot for the company', no identifying content"
ceo_only-140762087-25,no,na,"Musk's 55th birthday facts article, not Tesla business"
ceo_only-136879376-1,no,na,"garbled, misattributed personal life detail, not Tesla"
anaphora-137589013-17,no,no,"describes a Google-Docs-like design collaboration tool, not Tesla"
coref-139906867-4,yes,no,
coref-137268642-11,yes,yes,
ceo_only-139589574-36,no,na,"'Musk isn't the only billionaire sounding alarms', generic, not Tesla-specific"
coref-137897192-35,no,no,"vague quote, no identifying content; subst grammar broken ('Tesla're making')"
coref-141122355-393,yes,na,
ceo_only-140124324-4,no,na,"about SpaceX shareholder/CEO firing clause, not Tesla"
coref-137601489-24,no,no,"vague transcript fragment, no clear identifier; subst grammar broken"
anaphora-137268655-14,no,no,"explicitly about OpenAI IPO, not Tesla -- wrong referent"
ceo_only-141123341-0,no,na,"SpaceX Nvidia GPU quote, not Tesla"
ceo_only-140453398-11,no,na,"Musk 'menu' joke with Tyson, not Tesla business"
anaphora-139208002-3,no,no,"explicitly about Palantir's annual report figures, not Tesla -- wrong referent"
anaphora-139579132-10,no,no,"about OpenAI/xAI exec departures, not Tesla"
anaphora-139210532-32,yes,yes,
ceo_only-140059712-0,no,na,"SpaceX pay package tied to Mars colonization, not Tesla"
coref-140736410-23,no,no,"generic 'home market' statement, no identifying content"
anaphora-138291523-17,no,no,"generic capex financing statement, no identifying content"
anaphora-139231686-18,yes,yes,
coref-136536286-17,yes,yes,
anaphora-136904014-18,no,no,"generic regulatory credits/automakers statement, industry-wide not specifically Tesla"
ceo_only-141042353-7,no,na,"vague, no specific Tesla identifier given"
ceo_only-138306068-28,no,na,"about Musk selling 10% of SpaceX, not Tesla"
coref-141056965-24,yes,yes,
anaphora-140736411-32,no,no,"generic investing-principle sentence, no company identifiable"
coref-137215872-1,yes,yes,
coref-141062140-8,yes,yes,
anaphora-141122355-100,no,no,"vague tech requirement, ambiguous, no explicit product tie"
coref-141104218-7,yes,yes,
ceo_only-137268643-22,no,na,garbled headline fragment mixing unrelated content
ceo_only-140755113-19,no,na,"about Ellison/Musk wealth ranking comparison, not Tesla business"
ceo_only-140438004-14,yes,na,
coref-138290190-10,yes,yes,
coref-140757298-23,yes,yes,
coref-139903860-20,yes,yes,
anaphora-140728383-22,no,no,"about a real-estate firm defaulting on an office tower loan, not Tesla"
coref-139579134-11,no,no,"vague slogan, ambiguous referent, likely OpenAI/xAI context not Tesla"
coref-137591214-14,yes,yes,
ceo_only-137601489-39,no,na,"vague 'Musk sort of thing', no specific content"
anaphora-138313506-18,yes,yes,
anaphora-138294592-23,no,no,"too vague/fragmentary, no identifiable company; subst garbled"
ceo_only-137884559-13,no,na,"about Musk's DOGE/government role and departure, not Tesla"
coref-137878318-16,yes,yes,
ceo_only-140432683-19,no,na,"SpaceX IPO index fund lawsuit risk, not Tesla"
anaphora-141122361-1,no,no,"describes a private company's Series D funding round -- Tesla is public, wrong referent"
coref-139247169-3,yes,no,
anaphora-138495182-18,no,no,"too generic/fragmentary ('It expires in 1 day'), no identifiable company"
anaphora-138299999-163,no,no,"too vague/fragmentary numeric range, no identifiable company"
coref-136892571-9,no,no,"vague investor sentiment quote, no identifying content"
ceo_only-141076562-22,no,na,"Musk calling something 'fake news', no content specified, not Tesla"
ceo_only-141052996-5,no,na,"Musk interview quote about money not mattering in 2036, not Tesla business"
ceo_only-138301034-6,no,na,"about consolidation of 'Musk's business empire' broadly, not specifically Tesla"
anaphora-139570815-25,no,no,"too generic robot capability claim, no identifiable company"
ceo_only-138295578-10,yes,na,
ceo_only-139589574-25,no,na,"Musk's AI/robots-vs-bankruptcy political/economic claim, not Tesla business specifically"
coref-141102908-2,yes,yes,
ceo_only-138295575-22,yes,na,
coref-141135352-19,yes,yes,
ceo_only-137237691-5,no,na,"generic threat, ambiguous which company"
coref-138291548-10,no,na,"quote from Pilot company exec about a charging partner, not clearly about Tesla itself"
anaphora-138291548-16,no,no,"'guests per day' language fits a retail/travel-center chain like Pilot, not Tesla"
coref-137908145-1,no,no,"generic stock performance statement, no identifying content"
ceo_only-137260277-9,yes,na,
anaphora-139905743-4,no,no,"generic 'might create new revenue streams and boost user engagement', no identifying content"
ceo_only-141137163-13,no,na,"Fed Reserve economists examining affordability puzzle, ambiguous topic, not clearly Tesla"
anaphora-139912041-18,no,no,"generic 'fell short of consensus estimates', no identifying content"
ceo_only-141046985-9,no,na,"Musk's net worth vs sports league valuations, personal wealth, not Tesla"
anaphora-140732170-34,no,no,"garbled ad/webpage text, likely about Rocket Lab's Electron rocket, not Tesla"
ceo_only-141054986-18,yes,na,
ceo_only-141046985-26,no,na,"about SpaceX IPO and Musk's net worth, not Tesla"
ceo_only-140115802-14,no,na,"Musk court testimony about OpenAI's assets, not Tesla"
anaphora-139235358-12,yes,yes,
anaphora-136522287-13,no,no,"generic hiring statement, no identifying content"
coref-137278984-3,yes,yes,
coref-141041708-21,yes,yes,
anaphora-138475837-23,no,no,"too generic/fragmentary ('It expires in 9 days'), no identifiable company"
ceo_only-140122179-14,no,na,"Musk's lawyers arguing Microsoft enabled OpenAI breach, not Tesla"
anaphora-140112595-4,no,no,"generic stock-performance statement, no identifying content"
anaphora-140729332-13,no,no,"generic 'revenue is probably negligible', no identifying content"
anaphora-137215862-23,yes,yes,
ceo_only-139915915-4,no,na,"SpaceX valuation targets and Musk's shares, not Tesla"
coref-136502638-28,no,no,"ambiguous departure, no identifying content"
coref-139177557-14,no,no,"fragment, generic EV strategy reference, no identifying content"
coref-137235329-8,no,no,"generic 'doubts about the company's vision of the future', no identifying content"
anaphora-141042487-17,no,no,"sounds like an energy/commodity project (trading output), ambiguous, not clearly Tesla"
ceo_only-140035346-27,no,na,"courtroom crowd scene description around Musk trial, not Tesla business"
ceo_only-141058394-20,no,na,"ambiguous, likely about a pledge (e.g. Giving Pledge), not Tesla"
ceo_only-141126649-1,yes,na,
coref-137230805-1,yes,yes,
ceo_only-140124628-17,no,na,"Musk OpenAI co-founder breach-of-contract allegation, not Tesla"
anaphora-140421245-5,yes,yes,
coref-139190932-3,yes,yes,
ceo_only-141125702-21,no,na,"SpaceX share price commentary, not Tesla"
anaphora-140460087-23,no,no,"too generic/fragmentary ('It expires in 20 days'), no identifiable company"
anaphora-136536120-27,no,no,"sounds like a trucking-specific autonomy developer (e.g. Aurora), not Tesla"
anaphora-141046220-25,no,no,18x forward earnings doesn't match Tesla's typically much higher valuation multiple
ceo_only-140476257-2,no,na,"about SpaceX targeting public listing, not Tesla"
ceo_only-140035346-16,no,na,"vague Musk courtroom quote, no Tesla content"
