sample_id,referent,refers_to_tesla,substitution_span_ok,note
coref-138292591-7,Tesla,TRUE,TRUE,
coref-141120277-6,Tesla,TRUE,TRUE,
coref-139187958-6,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140730354-27,Tesla,TRUE,TRUE,
coref-141117221-37,Tesla,TRUE,TRUE,
coref-141041608-38,Tesla,TRUE,TRUE,
coref-137930808-28,Tesla,TRUE,TRUE,
coref-139581421-16,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141072015-24,Tesla,TRUE,TRUE,
coref-136495984-10,Tesla,TRUE,TRUE,
coref-137589118-1,Tesla,TRUE,TRUE,
coref-136541201-1,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141080291-6,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141122355-357,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-139903860-10,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140729385-6,Tesla,TRUE,TRUE,
coref-136904016-1,Tesla,TRUE,TRUE,
coref-137884562-22,Tesla,TRUE,TRUE,
coref-141043582-9,Tesla,TRUE,TRUE,
coref-136495852-33,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-139557401-7,Tesla,TRUE,TRUE,
coref-137228482-17,Tesla,TRUE,TRUE,
coref-137591345-3,Tesla,TRUE,TRUE,
coref-137614378-11,Tesla's US market share (a percentage),FALSE,FALSE,refers to a non-company antecedent
coref-137268657-46,Tesla,TRUE,TRUE,
coref-141078694-14,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140456326-10,Tesla,TRUE,TRUE,
coref-139903988-1,Tesla,TRUE,TRUE,
coref-141122355-459,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-138297097-2,Tesla stock (TSLA),TRUE,TRUE,
coref-136896896-13,Tesla,TRUE,TRUE,
coref-138411883-14,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141146266-24,Tesla,TRUE,TRUE,
coref-141122355-189,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140770027-21,Tesla,TRUE,TRUE,
coref-139909134-54,Tesla's management,TRUE,TRUE,
coref-139912041-17,Tesla,TRUE,TRUE,
coref-140121188-9,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-138704179-11,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-139265830-7,Tesla,TRUE,TRUE,
coref-139265831-1,Tesla,TRUE,TRUE,
coref-141058326-36,Tesla stock (TSLA),TRUE,TRUE,
coref-136907452-26,Tesla,TRUE,TRUE,
coref-137230899-23,Tesla,TRUE,TRUE,
coref-141120277-15,the TSLL leveraged ETF,FALSE,FALSE,refers to a non-company antecedent
coref-139546951-2,Tesla,TRUE,TRUE,
coref-138299999-154,Tesla,TRUE,TRUE,
coref-139167808-8,Tesla,TRUE,TRUE,
coref-141122355-138,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-137230899-13,Tesla,TRUE,TRUE,
coref-138291026-15,Tesla,TRUE,TRUE,
coref-141048231-17,Tesla,TRUE,TRUE,
coref-139165536-6,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140465726-3,Tesla stock (TSLA),TRUE,TRUE,
coref-140446621-9,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-139915918-21,the Power Inflow alert,FALSE,FALSE,refers to a non-company antecedent
coref-139577822-32,Tesla,TRUE,TRUE,
coref-138315115-16,Tesla,TRUE,TRUE,
coref-137612585-7,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-139265830-5,Tesla,TRUE,TRUE,
coref-141122355-495,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140772589-19,Tesla stock (TSLA),TRUE,TRUE,
coref-139238355-24,Tesla,TRUE,TRUE,
coref-138307221-368,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140736411-30,Tesla,TRUE,TRUE,
coref-140733605-9,Tesla,TRUE,TRUE,
coref-137897202-9,Tesla,TRUE,TRUE,
coref-141122355-181,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141062140-13,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140736411-2,Tesla,TRUE,TRUE,
coref-138307221-21,Tesla,TRUE,TRUE,
coref-138932941-0,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-137591343-25,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-136478880-13,Tesla,TRUE,TRUE,
coref-140736410-25,Tesla,TRUE,TRUE,
coref-141122355-304,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-140774476-11,Tesla stock (TSLA),TRUE,TRUE,
coref-140457083-18,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141048235-13,Tesla,TRUE,TRUE,
coref-141122355-9,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
coref-141043582-3,no highlighted phrase,FALSE,NA,no phrase highlighted - nothing resolved
