sample_id,context,target_sentence,highlighted_phrase,substituted_masked,referent,refers_to_tesla,substitution_span_ok,note
coref-141109938-11,"               Which one looks to be the better investment right now?
               Image source: Getty Images.
               Electric vehicle (EV) maker Tesla has been declining in value this year, with its shares down 28% thus far in 2026.
               While that may be bad news for existing shareholders, it could create a more attractive buying opportunity for investors considering buying the EV stock .
               Unlike SpaceX, which isn't profitable, Tesla already has a robust business, having generated around $104 billion in sales over the past four quarters.
>>> TARGET >>> It's also profitable, with its net income totaling $3.8 billion during that time frame.
               While it has been struggling of late amid rising competition, it's a positive sign nonetheless that the business can remain a leader in the EV space and still turn billions in profit as competition ramps up.","It's also profitable, with its net income totaling $3.8 billion during that time frame.",It,"<NAME> also profitable, with its net income totaling $3.8 billion during that time frame.",,,,
coref-136904016-17,"               The step up from the first to the second quarter, alongside a broader factory refresh, suggest a pathway back to higher run rates as new configurations stabilize.
               But, with the help of new products, there's more production growth on the way.
               Management recently said the first builds of a more affordable model occurred in June, with volume production planned for the second half of 2025.
               Tesla also launched an initial robotaxi service in Austin (with a safety rider), while continuing work on Semi and Cybercab for volume production in 2026.
               These milestones matter because they expand the addressable market and can increase factory utilization by helping to bolster demand for additional units.
>>> TARGET >>> Even at roughly 85% utilization of the company's current installed capacity (about 2.35 million units), deliveries would clear 2 million.
               That outcome also assumes steady throughput in Shanghai (Tesla's export hub) and a continued ramp-up in Texas and Berlin as refreshed Model Y variants and the lower-priced vehicle scale.","Even at roughly 85% utilization of the company's current installed capacity (about 2.35 million units), deliveries would clear 2 million.",the company's,"Even at roughly 85% utilization of <NAME> current installed capacity (about 2.35 million units), deliveries would clear 2 million.",,,,
anaphora-136560785-29,"               As of September 2024, Tesla's charging network spanned 40 countries - including the U.S., Canada, Germany, France, China, Japan, Australia, and the U.K. - comprising 6,706 Supercharger stations, 62,421 Supercharger connectors, and more than 40,000 Level 2 Wall Connectors.
               Virta Global Virta Global offers a comprehensive digital platform for managing EV charging networks, energy services, and multi-market charging operations.
               The platform is utilized by over 1,000 businesses across various sectors, including retail, hospitality, real estate, parking, fuel retail, automotive, and energy.
               These partners manage more than 120,000 EV chargers across 35 countries through the Connected to Virta network.
               With roaming agreements, Virta provides access to over 620,000 charging points in 65 countries.
>>> TARGET >>> The company's turnkey solution includes pre-configured charging stations that require no on-site software expertise.
               Its cloud-based management system, Virta Hub, delivers secure remote operations, energy optimization, seamless payment processing, firmware updates, and 24/7 customer support.",The company's turnkey solution includes pre-configured charging stations that require no on-site software expertise.,The company,<NAME> turnkey solution includes pre-configured charging stations that require no on-site software expertise.,,,,
coref-141071392-27,"               The profit-and-loss statement is.
               The company is selling more vehicles than in any prior second quarter and keeping almost none of the resulting profit, while pouring money into artificial intelligence (AI) computing, its robotaxi build-out, and its Optimus robot program.
               And management says the spending gets bigger from here.
               Chief financial officer Vaibhav Taneja reiterated on the second-quarter earnings call that capital expenditures will exceed $25 billion this year, and he said they will keep growing through 2027 and 2028.
               The company is also securing debt facilities that would let it borrow up to $30 billion.
>>> TARGET >>> ""[W]e should be spending on [capital expenditures] as fast as we can without it being too wasteful,"" CEO Elon Musk said on the call.
               That may prove to be the right long-term strategy.","""[W]e should be spending on [capital expenditures] as fast as we can without it being too wasteful,"" CEO Elon Musk said on the call.",we,"""[W]e should be spending on [capital expenditures] as fast as <NAME> can without it being too wasteful,"" CEO Elon Musk said on the call.",,,,
coref-138290179-18,"               Uh, I'm open to other ideas, but that sounds like it sounds like the it sounds like if you could say what is the best future you could possibly imagine, I I guess it would be that everyone can have whatever they want, including um amazing medical care, um, and
               and but we still keep uh, you know, the beauty of nature and and uh and Earth.
               I think that's probably the best outcome.
               Um, and uh and we we're seeing obviously the first steps along that way, um this year for Tesla, uh first major steps.
               um as we increase vehicle autonomy, um and begin to produce uh Optimus robots at scale.
>>> TARGET >>> Um we're we're making very, very big investments.
               So this is going to be a very big CAPEX year uh as Bible will will get into.","Um we're we're making very, very big investments.",we,"Um <NAME>'re we're making very, very big investments.",,,,
anaphora-136581241-43,"               The difference suggests investors are assigning a growth premium well above what is indicated by the company's fundamentals and risk-adjusted outlook.
               Result: OVERVALUED PS ratios tell one story, but what if the real opportunity lies elsewhere?
               Discover companies where insiders are betting big on explosive growth .
               Earlier we mentioned that there's an even better way to understand valuation, so let's introduce you to Narratives.
               In simple terms, a Narrative is your own story or perspective on a company, which you back up with your own assumptions about its future revenue, profit margins, and valuation.
>>> TARGET >>> This approach essentially connects the company's big picture vision with the numbers behind its value.
               Rather than just relying on a single ""fair value"" estimate, Narratives make the investment process more practical and dynamic by letting you create a financial forecast rooted in your outlook.",This approach essentially connects the company's big picture vision with the numbers behind its value.,the company,This approach essentially connects <NAME> big picture vision with the numbers behind its value.,,,,
anaphora-140474600-3,"               While Nvidia and Tesla dominate the headlines, another company has quietly joined them at the very top.
               As of this writing, Broadcom ( AVGO +0.43% ) is worth about $2.1 trillion -- nearly half a trillion dollars more than Tesla, and one of only a handful of companies ever to reach that mark.
               Yet for a business this size, it draws a fraction of the attention.
>>> TARGET >>> Its products don't sit in driveways or living rooms; they sit deep inside the data centers that train and run artificial intelligence (AI) .
               And that is exactly where the money is flowing.",Its products don't sit in driveways or living rooms; they sit deep inside the data centers that train and run artificial intelligence (AI) .,Its,<NAME> products don't sit in driveways or living rooms; they sit deep inside the data centers that train and run artificial intelligence (AI) .,,,,
anaphora-136476569-6,"               The firm downgraded the stock to Underperform, cutting its target price to HK$82 (US$21) from HK$110 (US$28) in a note on Friday.
               ""Li Auto looks set to miss lagging sell-side Q2 estimates on volume (-13%) and revenue (-7%),"" Macquarie wrote.
               While vehicle margins may show upside, ""this may not be enough to offset a bottom-line miss (-23%).""
               The broker estimates 105,000 units for the third quarter, below consensus expectations of 139,000, noting that July sales reached only 30,000 and August registrations tracked under 30,000 per week.
               A key near-term catalyst is expected to be the launch of the i6 BEV in September, which will go head-to-head with Tesla's Model Y and Xiaomi's YU7.
>>> TARGET >>> However, Macquarie highlighted risks: ""No official orders were disclosed by the company, a major contrast to the successful L6 launch last year when updates were given every 10k orders.
               This could imply a weaker-than-expected order cadence.""","However, Macquarie highlighted risks: ""No official orders were disclosed by the company, a major contrast to the successful L6 launch last year when updates were given every 10k orders.",the company,"However, Macquarie highlighted risks: ""No official orders were disclosed by <NAME>, a major contrast to the successful L6 launch last year when updates were given every 10k orders.",,,,
coref-140475855-25,"               While the $3.4 trillion valuation is breathtakingly big, the combined profits generated by the two potential partners wouldn't even qualify as shockingly small––based on recent results, they'd be negative.
               In the past four quarters, Tesla posted $3.9 billion in GAAP net earnings.
               That's down from $15 billion in 2023, and $7.0 billion in 2024.
               Even the official figure overstates its core profitability.
               In the year ended in Q1, Tesla booked roughly $1.6 billion after tax from sales of regulatory credits, a category that's already dwindling and Musk admits will probably disappear, plus proceeds from shrinking its cache of Bitcoin.
>>> TARGET >>> So its real ""core"" earnings are more like $2.3 billion.
               But let's stay optimistic and use the official GAAP number at $3.9 billion.","So its real ""core"" earnings are more like $2.3 billion.",its,"So <NAME> real ""core"" earnings are more like $2.3 billion.",,,,
anaphora-139208002-3,"               In a post on the social media platform X on Tuesday, the senator shared that the companies like Tesla, Ticketmaster and Palantir last year ""made billions of dollars in profits, but paid ZERO in federal income taxes,"" he said.
               He then asked whether President Donald Trump ""will address this outrage at his SOTU address?""
               Sanders expressed doubt over it happening, though.
>>> TARGET >>> According to Palantir's annual report, the company reported a U.S. income of $1.5 billion in the fourth quarter, as well as $4.4 billion in yearly revenue, but paid 0 federal income taxes and paid over $2.5 million in state taxes using research and development credits, among other things.
               Tesla, too, paid zero federal income taxes .","According to Palantir's annual report, the company reported a U.S. income of $1.5 billion in the fourth quarter, as well as $4.4 billion in yearly revenue, but paid 0 federal income taxes and paid over $2.5 million in state taxes using research and development credits, among other things.",the company,"According to Palantir's annual report, <NAME> reported a U.S. income of $1.5 billion in the fourth quarter, as well as $4.4 billion in yearly revenue, but paid 0 federal income taxes and paid over $2.5 million in state taxes using research and development credits, among other things.",,,,
anaphora-138298479-19,"               ""You have to start thinking about us as moving to providing transportation as a service more than the total addressable market for the purchased vehicles alone.""
               Basically, driving a car like the Model S isn't the future, but a car driving you is.
               In a first for the company, Tesla revealed it has 1.1 million paying subscribers for its full self-driving (FSD) business.
               ""FSD subscriptions are tied to Musk's performance package and are now a reported metric, standing at 1.1 million active subscriptions with 38% year-over-year growth, outpacing cumulative vehicle deliveries at 22%,"" William Blair analyst Jed Dorsheimer wrote in a note.
               Tesla is essentially going all in on FSD and getting the software active in as many vehicles as possible.
>>> TARGET >>> It also means offering it only as a subscription, as Musk revealed earlier this month, and selling cheaper vehicles, like the standard Model 3 and Model Y, to expand its reach.
               And those vehicles could eventually end up in Tesla's robotaxi network, a dream of Musk's.","It also means offering it only as a subscription, as Musk revealed earlier this month, and selling cheaper vehicles, like the standard Model 3 and Model Y, to expand its reach.",It,"<NAME> also means offering it only as a subscription, as Musk revealed earlier this month, and selling cheaper vehicles, like the standard Model 3 and Model Y, to expand its reach.",,,,
anaphora-141080219-29,"               Capital spending and weakening free cash flow remain the primary overhangs, but the latest results also suggest that these investments are beginning to generate meaningful returns.
               Alphabet Alphabet delivered another excellent quarter.
               Google Cloud revenue surged 84% year over year, while Search growth accelerated into the mid-teens.
               Investors instead focused on the continued rise in capital spending and the fact that free cash flow turned negative for the first time in the company's history.
               Those are legitimate concerns, but the valuation provides a considerable margin of safety.
>>> TARGET >>> At roughly 17 times forward earnings, with EPS expected to grow 17.4% annually and the company exceptionally well positioned for the modern digital economy, Alphabet is difficult to overlook.
               It currently carries a Zacks Rank #2 (Buy).","At roughly 17 times forward earnings, with EPS expected to grow 17.4% annually and the company exceptionally well positioned for the modern digital economy, Alphabet is difficult to overlook.",the company,"At roughly 17 times forward earnings, with EPS expected to grow 17.4% annually and <NAME> exceptionally well positioned for the modern digital economy, Alphabet is difficult to overlook.",,,,
anaphora-141083615-18,"               After being passed by Bernard Arnault and falling to the second-richest person in the world, Musk regained the title of richest man in the world in 2023 thanks to a recovery in Tesla’s share price.
               Musk’s wealth increased by $92.0 billion in 2023 in one of the biggest one-year jumps ever, ending the year worth $229 billion.
               The Tesla CEO ended 2025 worth an estimated $619 billion, according to Bloomberg.
               There is also a new pay package from Tesla that could pay Musk nearly $1 trillion in compensation if he reaches certain milestones, which could significantly add to his wealth over time.
               Ellison owns 41% of Oracle, a stake that has been boosted thanks to the company’s aggressive buybacks in recent years.
>>> TARGET >>> Ellison owned 22% of the company 15 years ago, but the buybacks and minimal selling have boosted his stake, according to Forbes .
               Ellison has regularly ranked among the richest people in the world, ending 2025 ranked fifth at $247 billion.","Ellison owned 22% of the company 15 years ago, but the buybacks and minimal selling have boosted his stake, according to Forbes .",the company,"Ellison owned 22% of <NAME> 15 years ago, but the buybacks and minimal selling have boosted his stake, according to Forbes .",,,,
coref-138295575-3,"               Markets Hot Stocks Fear & Greed Index Latest Market News Hot Stocks Tesla dominated the electric vehicle industry by the mid-2010s with sleek, fast cars that helped combat the public perception that EVs were severely limited by short ranges.
               Now the company – and its controversial CEO, Elon Musk – face stiffer competition and political headwinds.
               Its EV sales fell by a record 9% in 2025, amid increasing rivalry from China and the expiration of the US EV sales tax credit.
>>> TARGET >>> But Musk has been steering the company toward an audacious bet.
               He believes Tesla’s future won’t ride on cars but on humanoid robots.",But Musk has been steering the company toward an audacious bet.,the company,But Musk has been steering <NAME> toward an audacious bet.,,,,
anaphora-136851471-14,"               In the world of automotive manufacturing, $20 million does not go very far.
               To contrast, Slate Auto, which is building its own wild take on a small electric pickup truck, has raised more than $700 million .
               Startups like Fisker Inc. , Canoo , and Lordstown Motors also raised hundreds of millions before they all collapsed.
               Telo has far more modest goals and a sharper aim than those companies, though.
               ""Our hyper-focus is on trucks for the downtowns of cities,"" co-founder and CEO Jason Marks told TechCrunch on a video call while bouncing around Telo's 10,000-square-foot San Carlos facility — which shares a backyard with the original Tesla headquarters.
>>> TARGET >>> While Telo may someday embrace other markets — Marks said some small farmers are quite interested in the truck — the company considers those to be secondary.
               It's cities that Marks wants to conquer first; the CEO said he's spent far too much time circling San Francisco streets looking for parking to focus on any other use case.",While Telo may someday embrace other markets — Marks said some small farmers are quite interested in the truck — the company considers those to be secondary.,the company,While Telo may someday embrace other markets — Marks said some small farmers are quite interested in the truck — <NAME> considers those to be secondary.,,,,
coref-137878305-2,"               Tesla ( TSLA +3.80% ) , electric vehicles and energy storage maker, closed Monday at $488.73, up 1.56% as shares continued to trade near record territory.
               Tesla IPO'ed in 2010 and has grown 38,483% since going public.
>>> TARGET >>> Trading volume reached 86.6 million shares, roughly 1.4% above its three-month average of 85.8 million shares.
               Monday’s move followed a Delaware Supreme Court ruling on Elon Musk’s compensation, ending a long legal battle.","Trading volume reached 86.6 million shares, roughly 1.4% above its three-month average of 85.8 million shares.",its,"Trading volume reached 86.6 million shares, roughly 1.4% above <NAME> three-month average of 85.8 million shares.",,,,
coref-137897202-31,"               The answer to these questions is not simple and depends heavily on how seriously you take Musk's word.
               As an investor, one needs to decide what risk they are willing to take on.
               If buying at an all-time high makes you wonder about the downside if the broader market takes a turn for the worse, it's better to stay away.
               If you are excited about the company’s prospects and lead in AI and robotics, buying below $500 could turn out to be a bargain, especially when the FOMO crowd gets back into the stock once it crosses that psychological level of $500.
               Tesla announced its Q3 2025 earnings on Oct. 22 and failed to beat earnings estimates.
>>> TARGET >>> It reported an EPS of $0.5 vs. an estimated EPS of $0.54.
               It did beat the consensus estimates on revenue, reporting $28.1 billion during the quarter against estimates of $26.37 billion.",It reported an EPS of $0.5 vs. an estimated EPS of $0.54.,It,<NAME> reported an EPS of $0.5 vs. an estimated EPS of $0.54.,,,,
anaphora-141054986-15,"               A newsletter built for market enthusiasts by market enthusiasts.
               Top stories, top movers, and trade ideas delivered to your inbox every weekday before and after the market closes.
               Tesla Inc. (NASDAQ: TSLA )
               CEO Elon Musk revived the cameras-versus-LiDAR fight after Volvo Group (OTC: VOLVF ) confirmed it would abandon Luminar-supplied sensors and related features on its EX90 and ES90 electric vehicles.
               Volvo ended its partnership with Luminar Technologies Inc. (NASDAQ: LAZR ) in November after supply disruptions and a contract dispute.
>>> TARGET >>> The automaker says LiDAR is no longer available on the EX90, while affected Norwegian owners will receive 18,000 kroner, or about $1,900, because promised LiDAR-based functions will not launch.
               Delivered cars will keep the roof-mounted hardware, but Volvo plans to rely on cameras and radar for driver assistance.","The automaker says LiDAR is no longer available on the EX90, while affected Norwegian owners will receive 18,000 kroner, or about $1,900, because promised LiDAR-based functions will not launch.",The automaker,"<NAME> says LiDAR is no longer available on the EX90, while affected Norwegian owners will receive 18,000 kroner, or about $1,900, because promised LiDAR-based functions will not launch.",,,,
coref-141103169-204,"               Tyler Crowe: I want to do a quick thing and try to flip the script on Balf because each Petsense stock, Lou, you got Tractor Supply.
               It's down about 45% over the past year, trading at about 14 times earnings.
               Based on some of the things that Jon said, are you interested in buying?
               I'm going to flip the question to you as well, Jon, interested in RTX, based on up 36%, trading at 39 times earnings.
               Lou Whiteman: I'm genuinely scared of retail, but Tractor Supply supply is always one I've looked at.
>>> TARGET >>> Maybe if they get cheap enough, I might look at it, but look, in retail I'm not much of a shopper, and so I'm really bad at spotting trends.
               I just hide from retail most of the time.","Maybe if they get cheap enough, I might look at it, but look, in retail I'm not much of a shopper, and so I'm really bad at spotting trends.",they,"Maybe if <NAME> get cheap enough, I might look at it, but look, in retail I'm not much of a shopper, and so I'm really bad at spotting trends.",,,,
coref-138294592-2,"               Oops, something went wrong Tesla ( TSLA ) released fourth quarter results after Wednesday's market close, reporting adjusted earnings of $0.50 per share compared to estimates of $0.45 and revenue of $24.90 billion versus estimates of $25.11 billion.
               In Wednesday's earnings call, Tesla CEO Elon Musk spoke more about his plans for the EV company's full self-driving (FSD) capabilities and robotaxi services, adding that Tesla owners will be able to ""lend"" their vehicles to the growing autonomous robotaxi service ""kind of like how Airbnb works.""
>>> TARGET >>> The company seeks to expand its robotaxi business to other US cities as it currently operates in Austin, Texas, and San Francisco, California.
               Musk announced last week that Tesla has removed its safety monitoring feature Autopilot, enabling the robotaxis to reportedly be fully autonomous.","The company seeks to expand its robotaxi business to other US cities as it currently operates in Austin, Texas, and San Francisco, California.",The company,"<NAME> seeks to expand its robotaxi business to other US cities as it currently operates in Austin, Texas, and San Francisco, California.",,,,
coref-141043581-26,"               Tesla’s comparable number was an increase of 75% to 124,242.
               At least Tesla reversed its troubled sales in 2025.
               So, what is the problem?
               Tesla rules the U.S. EV sector.
               Fossil fuel challengers like Ford ( NYSE: F ) and GM ( NYSE: GM ) have largely left the market.
>>> TARGET >>> That should fuel market share growth for Elon Musk’s company.
               However, just offstage is anxiety among investors that at some point, some US President will drop tariffs, probably as part of a larger trade deal with China.",That should fuel market share growth for Elon Musk’s company.,,,,,,
anaphora-139210532-32,"               As Ford deepens relationships with fleet customers, Ford Pro is becoming a meaningful contributor to company earnings and a key lever for margin stability.
               F sports a Zacks Rank #1 (Strong Buy) at present.
               You can see the complete list of today's Zacks #1 Rank stocks here .
               Tesla's software strategy revolves around Full Self-Driving (FSD) and a clear shift toward subscription-based monetization.
               In 2025, monthly subscriptions to FSD (Supervised) more than doubled sequentially.
>>> TARGET >>> Effective Feb. 15, the company has now transitioned access to subscription-only, eliminating the one-time $8,000 purchase option as the economics of buying FSD outright stopped making much sense.
               It would take several years of continuous use to break even versus subscribing.","Effective Feb. 15, the company has now transitioned access to subscription-only, eliminating the one-time $8,000 purchase option as the economics of buying FSD outright stopped making much sense.",the company,"Effective Feb. 15, <NAME> has now transitioned access to subscription-only, eliminating the one-time $8,000 purchase option as the economics of buying FSD outright stopped making much sense.",,,,
anaphora-141042487-17,"               Grids across the US face unprecedented demand growth as the data center buildout has severely strained network areas that until recently had massive supply gluts.
               The average electricity price to consumers is projected to increase 4.3% this year to a record 14.22 cents per kilowatt-hour, according to US Energy Information Administration data going back to the late 1990s.
               The deal is the first between Tesla and ContourGlobal.
               Agreements such as this one typically run for 10 to 15 years, providing buyers with predictable electricity costs while giving developers the revenue certainty needed to finance new projects.
               Sterling will become the largest renewable asset in ContourGlobal's portfolio.
>>> TARGET >>> The company acquired the project in late 2024 and will trade the remaining 10% of its output by itself.
               Most Read from Bloomberg Businessweek Canada's MAGA-Friendly Premier Advances Her Pro-Oil Agenda The Menopause Gold Rush Is Failing Women",The company acquired the project in late 2024 and will trade the remaining 10% of its output by itself.,The company,<NAME> acquired the project in late 2024 and will trade the remaining 10% of its output by itself.,,,,
coref-139196875-30,"               All rights reserved.
               To add Benzinga News as your preferred source on Google, click here .
               A newsletter built for market enthusiasts by market enthusiasts.
               Top stories, top movers, and trade ideas delivered to your inbox every weekday before and after the market closes.
               Tesla Inc (NASDAQ: TSLA ) shares are diving lower Monday.
>>> TARGET >>> The electric‑vehicle market seems to be weakening, and there are growing concerns about the company's core automotive business .","The electric‑vehicle market seems to be weakening, and there are growing concerns about the company's core automotive business .",the company's,"The electric‑vehicle market seems to be weakening, and there are growing concerns about <NAME> core automotive business .",,,,
