sample_id,referent,refers_to_tesla,substitution_span_ok,note
coref-139908240-29,Terafab (Tesla's chip project),FALSE,NA,"no highlighted phrase - sentence about a project, not the company"
anaphora-140771567-5,Panasonic,FALSE,FALSE,refers to Panasonic; possessive marker dropped
anaphora-139210532-46,Tesla,TRUE,TRUE,
anaphora-138291520-8,Tesla,TRUE,TRUE,
coref-137884563-10,Tesla (its stock),TRUE,TRUE,
coref-141122355-157,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-136890594-4,Momenta,FALSE,TRUE,refers to Momenta
coref-139247169-3,Tesla,TRUE,FALSE,split a contraction
anaphora-137215862-23,Tesla,TRUE,TRUE,
anaphora-139187955-2,the new Cybertruck trim,FALSE,TRUE,"refers to a product, not the company"
anaphora-137258402-19,Xiaomi,FALSE,TRUE,refers to Xiaomi
anaphora-136557736-15,Costco,FALSE,TRUE,refers to Costco
coref-139227020-14,Tesla,TRUE,TRUE,
coref-141122355-28,Tesla,TRUE,FALSE,subject-verb disagreement
coref-140770027-11,Tesla,TRUE,FALSE,possessive marker dropped
coref-136933981-2,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-138295577-11,Tesla's $2bn investment in xAI,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-137589013-18,Figma,FALSE,TRUE,refers to Figma
coref-136563010-18,Nvidia together with Tesla/xAI,AMBIGUOUS,FALSE,joint 'we' - speaker's company plus Tesla; split a contraction
anaphora-139984538-4,OpenAI,FALSE,FALSE,refers to OpenAI; possessive marker dropped
coref-136476320-18,Tesla,TRUE,TRUE,
anaphora-139552962-12,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
coref-139577778-1,Ross Gerber (a person),FALSE,NA,"no highlighted phrase - sentence subject is a person, not the company"
coref-141068210-22,Tesla (its stock),TRUE,TRUE,
coref-141107725-10,Unitree,FALSE,NA,no highlighted phrase - sentence not about Tesla
anaphora-139552962-11,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-140773469-37,the Trefis High Quality Portfolio,FALSE,TRUE,"refers to a fund/ETF, not the company"
anaphora-141129157-11,Alibaba,FALSE,TRUE,refers to Alibaba
coref-141109941-26,Tesla,TRUE,TRUE,
anaphora-137614312-40,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-139908240-101,the stock the panelist picked (IBM),FALSE,FALSE,non-referring noun phrase - no company named yet; substitution yields broken grammar
anaphora-137619046-5,Redwood Materials,FALSE,TRUE,refers to Redwood Materials
coref-139908240-47,ambiguous,AMBIGUOUS,FALSE,vague spoken 'we' - speaker is not part of the company; split a contraction
coref-140766740-10,Caterpillar and GE Vernova,FALSE,NA,no highlighted phrase - sentence not about Tesla
coref-139232139-11,Tesla,TRUE,FALSE,subject-verb disagreement
coref-136579578-6,Tesla,TRUE,FALSE,contraction verb dropped
anaphora-140035346-5,OpenAI,FALSE,TRUE,refers to OpenAI
coref-140445649-7,Tesla robotaxi vehicles (patent),FALSE,NA,"no highlighted phrase - sentence about a product, not the company"
anaphora-139187955-3,the new Cybertruck trim,FALSE,TRUE,"refers to a product, not the company"
anaphora-139908240-49,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-140438004-5,the Canaccord analyst's investment case,FALSE,FALSE,"refers to an abstract point, not the company; contraction verb dropped"
coref-140772586-27,Tesla,TRUE,TRUE,
anaphora-138298440-51,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
coref-138316632-12,Americans / the US,FALSE,TRUE,"refers to people, not a company"
anaphora-140732170-34,Rocket Lab,FALSE,FALSE,refers to Rocket Lab; broken sentence fragment - ungrammatical result
coref-139592411-3,Tesla,TRUE,FALSE,possessive marker dropped
coref-136568948-18,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-140443328-16,the proposed Tesla-SpaceX merger,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-141134038-28,the difference an EV makes to the driving experience,FALSE,TRUE,"refers to an abstract point, not the company"
coref-136904018-5,Tesla,TRUE,TRUE,
coref-138292029-14,Tesla,TRUE,TRUE,
anaphora-137258402-20,Xiaomi,FALSE,FALSE,refers to Xiaomi; possessive marker dropped
coref-141135352-22,Tesla (its stock),TRUE,TRUE,
coref-139912041-11,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-138298475-10,Barclays,FALSE,TRUE,refers to Barclays
coref-139908164-14,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-141134038-40,a Tesla vehicle,FALSE,FALSE,"refers to a product, not the company; broken grammar - duplicated subject"
anaphora-141129157-20,Alibaba,FALSE,TRUE,refers to Alibaba
anaphora-139912041-18,Tesla,TRUE,TRUE,
anaphora-141041608-30,scaling driverless rides across cities,FALSE,TRUE,"refers to an event or situation, not the company"
coref-139167808-3,Tesla,TRUE,FALSE,split a contraction
anaphora-138295490-8,Tesla,TRUE,TRUE,
coref-139908240-37,Tesla,TRUE,TRUE,
coref-141122355-202,Tesla,TRUE,TRUE,
coref-141041608-44,Tesla's latest earnings,FALSE,FALSE,"refers to an event or situation, not the company; subject-verb disagreement"
anaphora-139579132-11,xAI,FALSE,TRUE,refers to xAI
anaphora-138475837-23,the NKE option sweep,FALSE,TRUE,"refers to an option contract, not a company"
coref-137601479-19,Tesla,TRUE,TRUE,
coref-137215862-24,Tesla,TRUE,TRUE,
coref-139909134-9,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-138295577-21,Optimus (the robot),FALSE,TRUE,"refers to a product, not the company"
anaphora-139579132-10,Nordeen's exit from xAI,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-139597954-28,the TSLA option contract,FALSE,TRUE,"refers to an option contract, not a company"
anaphora-137589013-17,Figma,FALSE,TRUE,refers to Figma
anaphora-141122361-1,Base Power,FALSE,TRUE,refers to Base Power
coref-138300027-1,Pilot Travel Centers,FALSE,TRUE,refers to Pilot Travel Centers
coref-139201472-7,Lucid Group,FALSE,TRUE,refers to Lucid Group
anaphora-140446621-51,the ROBO ETF,FALSE,TRUE,"refers to a fund/ETF, not the company"
anaphora-138306068-43,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
coref-137591343-24,Tesla,TRUE,FALSE,subject-verb disagreement
coref-139210531-9,Tesla,TRUE,TRUE,
anaphora-139574192-19,Tesla's focus on long-life Semi batteries,FALSE,TRUE,"refers to an event or situation, not the company"
coref-140729388-25,Tesla (its stock),TRUE,TRUE,
anaphora-141076113-5,Meta,FALSE,FALSE,refers to Meta; possessive marker dropped
anaphora-141104220-25,Oracle,FALSE,FALSE,refers to Oracle; possessive marker dropped
anaphora-140421245-17,Tesla,TRUE,TRUE,
anaphora-141104220-26,Oracle,FALSE,TRUE,refers to Oracle
anaphora-141145314-7,the Terafab Texas facility,FALSE,TRUE,"refers to a product, not the company"
anaphora-140728383-22,601W,FALSE,TRUE,refers to 601W
anaphora-138290183-10,the Q4 sales drop,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-138294592-23,the car-lending scenario,FALSE,FALSE,"refers to an abstract point, not the company; broken grammar - duplicated subject"
anaphora-137586696-6,Chinese EV subsidy policy,FALSE,TRUE,"refers to an event or situation, not the company"
coref-141048235-16,Tesla,TRUE,TRUE,
anaphora-137235086-7,Xiaomi,FALSE,FALSE,refers to Xiaomi; possessive marker dropped
coref-139582672-21,Tesla,TRUE,TRUE,
