sample_id,stratum,absa_aspect,text,label,confidence,notes
comparative-141145314-0,comparative,Tesla,"Elon Musk announced Terafab, a Texas chip factory that Tesla and SpaceX will build together.",,,
ceo_only-139909133-16,ceo_only,Elon … Financially,"In September 2017, Brockman wrote: ""This is the only chance we have to get out from Elon … Financially, what will take me to $1B?""",,,
direct-137941906-61,direct,Tesla,"While shares have nearly doubled over the past year, it… Tesla’s global vehicle deliveries could be sharply lower this year.",,,
anaphora_resolved-141119691-12,anaphora_resolved,,Zoox said the NHTSA's approval gives the company the federal go-ahead to begin charging for rides.,,,
coref_resolved-137263603-3,coref_resolved,,"""We'll be speaking about Blackwell, it's the super duper chip,"" said Trump.",,,
other_only-137263501-6,other_only,Toyota,"Meanwhile, Toyota released its production and sales data for September, showcasing a production growth of 11.1% .",,,
direct-141064544-19,direct,Tesla,"X-Energy (XE), and Tesla (TSLA).",,,
coref_resolved-137950141-2,coref_resolved,Tesla,"The company published figures showing analysts on average expect fourth-quarter deliveries of 422,850 vehicles, down 15% from a year earlier.",,,
other_only-141121780-26,other_only,SpaceX,The results exposed the cost of SpaceX’s AI push after its February acquisition of xAI .,,,
other_only-136557719-16,other_only,Bmw,"BMW notched an 11.6% gain, with its Mini brand popping 41%.",,,
comparative-140723868-31,comparative,Tesla,"Inquire Before Buying: https://www.marketsandmarkets.com/Enquiry_Before_BuyingNew.asp?id=89574213 Top Companies in EV Charging Station Market: The Top Companies in EV Charging Station Market are ABB (Switzerland), BYD (China), ChargePoint (US), Tesla (US), and Siemens (Germany), among others.",,,
anaphora_resolved-136890593-37,anaphora_resolved,,"It makes a great deal of sense to wait at least until the R2 has been brought to market, so investors can assess how well the new car does with consumers.",,,
anaphora_resolved-137228365-17,anaphora_resolved,,"The firm cited Asia’s long-term travel outlook, steady GDP growth, and more attractive valuation for the buy rating.",,,
ceo_only-139262770-11,ceo_only,Musk,"Trending: Before the IPO: How One Company Quietly Locked Up 500+ Iconic Character Rights Musk had earlier shared that the Cybercab would be available to purchase at a price of $30,000 or less as the production-ready version of the vehicle was rolled off the manufacturing line recently.",,,
comparative-136476535-50,comparative,Tesla,Alphabet's Waymo is Tesla's toughest rival in the robotaxi race.,,,
anaphora_resolved-139577716-5,anaphora_resolved,,"It's also a number receiving some support on the prediction markets platform Polymarket, with implied odds indicating a 62% probability of a figure below 350,000 and only a 27% probability of a figure between 350,000 and 375,000 at the time of writing.",,,
other_only-139564933-10,other_only,SpaceX,SpaceX's IPO has been a topic of significant interest in recent months.,,,
coref_resolved-139186355-3,coref_resolved,,The new unit is designed to provide services to autonomous vehicle partners and support the broader commercial rollout of robotaxi and autonomous delivery operations.,,,
other_only-137930806-36,other_only,Ion Beam Applications,"In corporate news, ION Beam Applications ( IBAB.BB ) climbed over +4% after the radiopharmaceutical equipment maker said it secured a contract for its ProteusPlus proton therapy system in South Korea.",,,
other_only-138444978-24,other_only,Crowdstrike Holdings,CrowdStrike Holdings (NASDAQ: CRWD ) :,,,
coref_resolved-141148585-1,coref_resolved,,"But as the stock settles over the next 30 to 60 days, I’ll be watching closely, and I may start building a position,"" O’Leary said on X. He identified $100 to $110 as a range where volatility could clear.",,,
coref_resolved-137601479-19,coref_resolved,Tesla,Click here to see how it stacks up against its peers .,,,
comparative-136907417-39,comparative,Tesla,"According to tech writer Ed Zitron , Microsoft, Meta, Tesla , Amazon, and Google will have invested about $560 billion in AI infrastructure over the last two years, but have brought in just $35 billion in AI-related revenue combined.",,,
direct-138300027-0,direct,Tesla,"Oops, something went wrong Pilot Travel Centers on Tuesday announced a partnership with Tesla to install Semi chargers at select locations to expand heavy-duty truck charging infrastructure.",,,
direct-138704179-8,direct,Tesla,"Although the pickup was unveiled in 2019, Tesla didn't begin selling it until 2024.",,,
other_only-137268539-8,other_only,Pave Bank,"""The global financial system is moving toward regulated on-chain finance, and institutions need a trusted bridge between the old and the new,"" Pave Bank co-founder and CEO Salim Dhanani said in the company's statement.",,,
ceo_only-137258395-9,ceo_only,Doge,"Musk announced in May that he was pulling back from DOGE, which the Trump administration formed to shrink the federal government and cut spending.",,,
anaphora_resolved-137930796-11,anaphora_resolved,,The company added that supplies to major Korean cell manufacturers continue to proceed smoothly.,,,
other_only-137612583-9,other_only,Electric Vehicle,"For a deeper understanding of the vital role rare earths play in the Electric Vehicle sector, explore our ""Market Insights"" article, highlighting the geopolitical and strategic importance driving recent market dynamics—don't miss it!",,,
direct-140431922-18,direct,Tesla,"Add his Tesla holdings and unexercised options, and the total clears $1 trillion comfortably.",,,
direct-136579580-15,direct,Tesla,"Musk also claimed that Tesla has ""the best intelligence density of any AI by far.""",,,
anaphora_resolved-141066626-5,anaphora_resolved,,"It is down $25 billion this year and is still dropping, to $209 billion.",,,
direct-139176490-3,direct,Tesla,"Don't Miss: This Energy Storage Company Already Has $185M in Contracts—Shares Are Still Available Own the Characters, Not Just the Content: Inside a Fast-Growing Pre-IPO IP Company DMV Director Steve Gordon hailed the decision, saying that ""The department [DMV] is pleased that Tesla took the required action"" to remain in compliance with California's consumer protection laws.",,,
coref_resolved-141122355-189,coref_resolved,Tesla,"Here, we show that such is not true.",,,
direct-139248416-1,direct,Tesla,"""I would say hold on to your Tesla stock, because it's gonna be worth a lot,"" Musk said during the interview, outlining the billionaire CEO's bullish stance on the company's roadmap.",,,
other_only-139549508-17,other_only,Ytd,"Over the past 52 weeks, the stock has gained nearly 36.77% , though it has pulled back 17.26% year-to-date (YTD), signaling some near-term pressure.",,,
ceo_only-137878318-25,ceo_only,SpaceX,"Reuters recently reported that Morgan Stanley is emerging as a top contender for a key role in SpaceX’s IPO, with its close relationship with CEO Elon Musk giving the bank an advantage.",,,
anaphora_resolved-137215862-23,anaphora_resolved,Tesla,"It maintains heavy technological and capital advantages versus the competition, but when it comes to raw EV sales, the near-term future is fairly gloomy.",,,
anaphora_resolved-141083615-17,anaphora_resolved,Tesla,"Ellison owns 41% of Oracle, a stake that has been boosted thanks to the company’s aggressive buybacks in recent years.",,,
direct-140454462-10,direct,Tesla,"To be sure, the recent rally hasn’t been due to markets suddenly finding renewed love for its legacy automotive business, but rather due to its newly launched energy storage business, where it would compete with Tesla.",,,
ceo_only-140749491-6,ceo_only,Musk,Newsom shared Musk’s post,,,
other_only-141121164-10,other_only,Market Insights,"Don't miss our Market Insights article on Electric Vehicles, highlighting Ferrari's EV launch and the enduring value of brands.",,,
other_only-141134036-2,other_only,SpaceX,"LOFD seeks daily investment results, before fees and expenses, of 200% of the inverse (or -200%) of the daily performance of SpaceX (Nasdaq: SPCX) (""SpaceX"").",,,
ceo_only-141122355-409,ceo_only,Elon,"William Stein: Elon, you teased us a little bit about sort of the supply chain relative to Optimus, highlighting how difficult it's going to be.",,,
anaphora_resolved-139164792-43,anaphora_resolved,,It's trading near its all-time high.,,,
coref_resolved-137601489-17,coref_resolved,Tesla,I think he's calling it a must-own.,,,
direct-136913563-24,direct,Tesla,"However, Tesla has a chance to change the narrative this week when it releases its third-quarter delivery and production numbers, which are expected to drop on Thursday before the US equity market opens.",,,
comparative-141122359-1,comparative,Tesla,"Both Tesla ( TSLA +3.80% ) and Space Exploration Technologies ( SPCX -3.33% ) have been struggling in recent weeks, with Tesla falling nearly 20% since June 19 and SpaceX falling by 40%.",,,
anaphora_resolved-140743083-21,anaphora_resolved,,"The company must prove it can successfully convert an investment bank’s theoretical data center blueprint into actual, high-margin enterprise dollars, or risk its stock remaining tethered to a sluggish domestic solar recovery.",,,
ceo_only-139553681-0,ceo_only,SpaceX,"Elon Musk is considering reserving as much as 30% of SpaceX's initial public offering for individual investors, an unusually large retail slice aimed at harnessing his loyal following to help steady the stock after its market debut.",,,
direct-140729388-11,direct,Tesla,Tesla continues to recruit for the new positions as it scales European production in a competitive EV market.,,,
anaphora_resolved-139197276-33,anaphora_resolved,Tesla,"In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and the company's growth prospects.",,,
comparative-141100742-15,comparative,Tesla,SpaceX and Tesla combined make up roughly 70% of the liquid portfolio.,,,
direct-136536286-9,direct,Tesla,Photo by Michael Fousert on Unsplash Tesla's EV sales are falling all over the world as the company faces challenges from competitors.,,,
coref_resolved-136502645-8,coref_resolved,Tesla,"Incorporated in 2003, the company operates through two segments: Automotive and Energy Generation and Storage.",,,
comparative-141125703-22,comparative,Tesla,"While profitable with positive cash flows, Uber is just 13% the size of Tesla That limits its relative ability to raise capital.",,,
coref_resolved-136888234-4,coref_resolved,Tesla,But 2025 is shaping up to be a defining year for the company’s next big growth opportunities: artificial intelligence (AI) and energy.,,,
ceo_only-141042485-35,ceo_only,Musk,Musk has built a career proving skeptics wrong.,,,
comparative-141074076-4,comparative,Tesla,Tesla and SpaceX could not be immediately reached for comment outside regular business hours.,,,
coref_resolved-140421183-8,coref_resolved,,Arcuri argued that AI is breaking that pattern by providing the company with more predictable demand.,,,
coref_resolved-141120277-35,coref_resolved,Tesla,"In the other direction, the same daily-reset mechanics could produce a total loss in a single day if the underlying moves more than 50% against the fund.",,,
anaphora_resolved-139257016-10,anaphora_resolved,,"Its portfolio consists primarily of large- and mid-cap Chinese equities, with holdings diversified across key sectors represented in the H-shares and B-shares markets.",,,
other_only-139918674-50,other_only,Penske,"While Penske's revenues from new vehicle sales, used vehicle sales, services and parts, finance and insurance, and fleet and wholesale segments are expected to have improved year over year, gross margins from vehicle sales are expected to have declined, offsetting the revenue growth.",,,
coref_resolved-140420160-6,coref_resolved,Tesla,"Daily engagement continues to rise among non-Tesla EV app users, with 55% of users who say they are frequent users compared with 48% in 2025.",,,
comparative-140723868-4,comparative,Tesla,"Download PDF Brochure: https://www.marketsandmarkets.com/pdfdownloadNew.asp?id=89574213 EV charging infrastructure is rapidly expanding through OEM-led investments by Tesla, Rivian, and Hyundai in proprietary and partner charging ecosystems.",,,
other_only-136575289-16,other_only,Toyota,"Toyota $TM and Honda $HMC , on the other hand, scored net positive views.",,,
coref_resolved-139235358-22,coref_resolved,Tesla,"The company, on its latest earnings call, said that the fleet has logged nearly 700,000 paid miles.",,,
coref_resolved-138300033-4,coref_resolved,Tesla,The earnings call came a few days after the company changed its mission from accelerating the “world's transition to sustainable energy” to building “a world of amazing abundance.”,,,
coref_resolved-139581439-29,coref_resolved,Tesla,"And the company is planning over $20 billion in capital expenditures for 2026, covering six new factories, AI compute infrastructure, and fleet expansion.",,,
ceo_only-137897202-24,ceo_only,Elon Musk,But how do we price in Elon Musk’s statement that people soon may not even need to work because of humanoid robots?,,,
ceo_only-140443422-48,ceo_only,SpaceX,Image: Shutterstock This article Elon Musk Says He's 'Frequently Asked' to Have SpaceX Build Weapons — 'We Have Thus Far Declined' originally appeared on Benzinga.com © 2026 Benzinga.com.,,,
coref_resolved-141046302-16,coref_resolved,,"First-half adjusted earnings already rose more than 35% from a year earlier to $7.27 a share, the company’s best first half on record.",,,
other_only-141058394-3,other_only,Social Security,Jeff Bezos backs a platform that lets anyone invest in rental homes for as little as $100 — 6 ways to build wealth like a landlord without actually being one Dave Ramsey warns nearly 50% of Americans are making 1 big Social Security mistake — here's what it is and 3 simple steps to fix it ASAP,,,
coref_resolved-141078954-29,coref_resolved,Tesla,"Repeat the stock’s actual worst fall on record, 74%, from peak in 2021 to trough in 2023, and the damage is closer to 7% at a 10% weight and 15% at a 20% weight.",,,
comparative-136568944-32,comparative,Tesla,"There is no guarantee FSD will win regulatory approval nationwide (not to mention worldwide), and nobody knows whether consumers will actually adopt Tesla's ride-hailing network over popular alternatives like Uber .",,,
anaphora_resolved-137649798-4,anaphora_resolved,,Its 1-year total shareholder return sits at,,,
anaphora_resolved-137215865-5,anaphora_resolved,Tesla,The firm owns more than 3 million shares worth approximately $1 billion.,,,
anaphora_resolved-140112614-12,anaphora_resolved,,OpenAI has argued ‌that Mr Musk is motivated by a compulsion to control the company.,,,
direct-138311309-9,direct,Tesla,"""If you're trying to build robots, and build autonomous cars, and build rockets, these things all fit together,"" said Arthur Laffer Jr., president of Laffer Tengler Investments, a Tesla investor.",,,
direct-141054039-1,direct,Tesla,"Tesla stock has fallen 29.8% year to date, yet the valuation checks still point to a company that screens as expensive rather than obviously cheap on current fundamentals.",,,
anaphora_resolved-137268528-10,anaphora_resolved,,"See Also: Accredited Investors Can Now Tap Into the $36 Trillion Home Equity Market — Without Buying a Single Property Interestingly, Ardoino said in June that Tether has no plans to go public , citing the company's profitability and conservative management as key reasons behind the decision.",,,
ceo_only-137906037-22,ceo_only,Elon Musk,This article Elon Musk Celebrates Starlink's 9 Million Users: 'Rebuilding The Whole Internet In Space Is Not Easy' originally appeared on Benzinga.com,,,
ceo_only-139248414-1,ceo_only,SpaceX,"In a post on the social media platform X on Thursday, Musk quoted a post by SpaceX sharing that the Starship V3 was headed for ground tests.",,,
ceo_only-140445651-7,ceo_only,SpaceX,"The S-1, filed Wednesday, May 20, revealed two performance-based awards that could hand Musk more than 1.3 billion shares if SpaceX hits a series of market cap and operational milestones.",,,
anaphora_resolved-137235086-7,anaphora_resolved,Tesla,"Xiaomi: Strengthened partnership with Xiaomi, recently taking over management of the company's insurance renewal business to help mitigate the risk of policies lapsing.",,,
direct-137950141-12,direct,Tesla,"Tesla has since moved to partially offset the loss of those incentives by introducing lower-priced versions of the Model Y and Model 3 priced below $40,000, and the shares remain up about 14% through Monday's close, trailing the S&P 500 Index's 17% gain.",,,
anaphora_resolved-136888141-17,anaphora_resolved,,It's just been behind the eight ball for so long.,,,
ceo_only-136478879-31,ceo_only,Elon Musk,This article Elon Musk Says Success Comes Down To 'Simple Math.',,,
coref_resolved-138290190-18,coref_resolved,Tesla,Together they make up only 3% of its global deliveries.,,,
anaphora_resolved-139255562-4,anaphora_resolved,Tesla,"The company specializes in mechanical services, with roughly three-quarters of revenue coming from mechanical services and the rest from electrical services.",,,
other_only-138479665-14,other_only,Apple,"The app's small team of fewer than 10 is exploring adding biometric identity verification, potentially using Apple 's (NASDAQ: AAPL )",,,
coref_resolved-137878318-40,coref_resolved,Tesla,But what happens to the stock if investors seeking “Elon exposure” have another way to get it?,,,
coref_resolved-136581241-38,coref_resolved,Tesla,The difference suggests investors are assigning a growth premium well above what is indicated by the company's fundamentals and risk-adjusted outlook.,,,
comparative-137649812-46,comparative,Tesla,"For now, I'm sticking with business that are already profitable, like Tesla, plus EV stocks that have at least attained positive gross margins , like Rivian.",,,
anaphora_resolved-139164792-53,anaphora_resolved,,It trades with a forward P/E of 56.,,,
coref_resolved-137627948-9,coref_resolved,Tesla,"""Once he heard I'd shorted the stock, he was super mean to me ,"" Gates told Isaacson.",,,
direct-140418894-2,direct,Tesla,The space technology pioneer founded by Tesla ( TSLA +3.80% ) CEO Elon Musk is also going where no other company has gone before.,,,
ceo_only-140035346-51,ceo_only,Musk,"The trial is taking place in a federal court in Oakland, California, where a nine-person jury will decide on Musk's claims.",,,
anaphora_resolved-140748366-33,anaphora_resolved,,Its revenue jumped by over 300% in the last quarter to over $41.5 billion.,,,
direct-139189466-10,direct,Tesla,"As the company retires the Model S and Model X and adapts its Autopilot branding, investors may pay close attention to execution on autonomy, robotics progress and how legal and regulatory outcomes affect Tesla's next phase.",,,
comparative-139932849-24,comparative,Tesla,"Now, Tesla’s roadmap is profoundly ambitious as well (FSD and Optimus), but SpaceX gives Musk fans another option as they wait for physical AI to take off.",,,
comparative-138508640-18,comparative,Tesla,"“There's no real competition from Tesla (NASDAQ: TSLA ), GM (NYSE: GM ), or Ford with what we've seen from China.",,,
direct-138312567-5,direct,Tesla,"Tesla, meanwhile, holds 11,509 BTC , valued near $1 billion, and reported no changes to that position in the fourth quarter of 2025.",,,
other_only-139194327-8,other_only,Nvidia,"NVIDIA AND OPENAI Nvidia is set to invest up to $100 billion in OpenAI and supply it with data center chips, in a deal giving the chipmaker a financial stake in OpenAI.",,,
other_only-138508626-18,other_only,BYD,BYD Co. Ltd. could bring its compact Racco car to the European market.,,,
comparative-140748094-22,comparative,Tesla,"Earlier this year, Rivian launched its R2 SUV, its first vehicle priced under $50,000 that will compete directly with Tesla's ultra-successful Model Y.",,,
anaphora_resolved-140059716-1,anaphora_resolved,Tesla,"It sits in the middle of its 52‑week range, a sign that the market has not committed to a clear direction.",,,
coref_resolved-141074077-20,coref_resolved,,"Development is on track to begin rolling out point-to-point capabilities by the end of 2026, the company said.",,,
coref_resolved-137228479-3,coref_resolved,Tesla,"When the company reported FY 2025 Q3 earnings on Oct. 22, 2025, it announced quarterly revenue of $28.1 billion, up 12% year-over-year (YoY).",,,
comparative-141111588-39,comparative,Tesla,"TSLA | TSLA Price Prediction) and Ford (NYSE: F) just reported first quarter results that crystallize the EV… Both Amazon and Microsoft crushed earnings and surged on identical catalysts, but the businesses underneath those matching gains point in… Tesla is betting billions that software eats the car business while BYD bets the factory floor never goes out of… Tesla (NASDAQ:",,,
anaphora_resolved-138421195-5,anaphora_resolved,,The figure represents a new delivery record for the company and a 6% month-on-month increase.,,,
comparative-139577778-23,comparative,Tesla,He had earlier said that Tesla should follow Apple Inc. ‘s,,,
comparative-141080288-43,comparative,Tesla,"If you are looking for an AI stock that is more promising than TSLA or GM and that has 10,000% upside potential, check out our report about the cheapest AI stock .",,,
ceo_only-137649803-3,ceo_only,Musk,"However, critics have pointed out potential loopholes that could allow Musk to reap substantial benefits by making grand promises and delivering just enough to secure a significant reward.",,,
coref_resolved-139196875-17,coref_resolved,Tesla,"This crossover is generally seen as a bullish signal, but the stock’s current positioning below shorter-term moving averages suggests that traders should be cautious.",,,
comparative-140458153-1,comparative,Tesla,"Tesla ( NASDAQ:TSLA ) has a much smaller robotaxi footprint in Texas than Waymo, according to state vehicle records and recent reporting.",,,
ceo_only-140122179-3,ceo_only,Openai,"Under cross-examination from OpenAI lead counsel William Savitt on day three of the federal trial in Oakland, Musk was asked whether xAI had distilled OpenAI’s models.",,,
anaphora_resolved-137263503-18,anaphora_resolved,,The company's annual revenue as of June 30 stood at $5.57 billion.,,,
other_only-136502572-25,other_only,Apple,"Similar to Apple's Project Titan, the recent moves around Dojo underscore how costly and uncertain it can be to build proprietary systems at scale.",,,
ceo_only-141141800-3,ceo_only,Elon,"We love Elon,"" Trump said Wednesday during a speech in Las Vegas, Nevada, according to Electrek .",,,
comparative-137878318-51,comparative,Tesla,"More importantly, the missions of Tesla and SpaceX are interconnected, with Tesla’s Optimus robots central to Elon Musk’s vision of colonizing Mars, while SpaceX’s Starlink strengthens vehicle connectivity on Earth.",,,
ceo_only-141043586-40,ceo_only,Allianz Center For,"In one of his first major decisions after his January 2025 inauguration, President Donald Trump appointed Elon Musk to lead… Trump built his brand on loving debt and claimed he could negotiate his way out of any financial hole, but… The Allianz Center for the Future of Retirement 2026 Annual Retirement Study surfaced a finding that rarely gets attention in… Credit cards carried the load in Q4 as Americans piled another $44 billion onto their balances, pushing the total to… One of President Trump’s campaign promises was a proposal to eliminate the double taxation of Social Security benefits, which impacts an… On a recent episode of The Pomp Podcast featuring guest Jordi Visser, host Anthony Pompliano surfaced a notable statement from… Replicating a guaranteed, inflation-adjusted retirement income stream from a personal portfolio costs far more than most households expect, and the…",,,
other_only-139249914-77,other_only,General Motors,General Motors has expanded its upstream exposure as access to battery raw materials increasingly dictates EV scaling timelines.,,,
comparative-137884564-7,comparative,Tesla,You buy it in a brokerage account the same way you buy Apple or Tesla.,,,
comparative-139591770-15,comparative,Tesla,"Tesla and SpaceX are planning to build two advanced chip factories in Austin, Texas as part of a “Terafab” project, a collaboration involving Tesla, SpaceX, and xAI to address future chip demand for Tesla’s vehicles, Optimus robots, and AI data centers in space.",,,
other_only-140731220-35,other_only,Sunrun,Sunrun also said it extended its non-recourse warehouse facility to 2029 and increased commitments by $70 million to $2.7 billion.,,,
coref_resolved-138290179-20,coref_resolved,Tesla,"Um, that that is deliberate uh because we're making big investments for an epic future.",,,
comparative-136502644-1,comparative,Tesla,"It initially attracted a lot of attention because it was led by Peter Rawlinson, Tesla 's ( TSLA +3.80% ) former chief vehicle engineer who developed the Model S. Lucid started delivering its Air sedan that October.",,,
comparative-141047318-8,comparative,Tesla,Narayan said a merger could create a broader technology ecosystem by combining Tesla's artificial intelligence capabilities with SpaceX's satellite connectivity and space infrastructure.,,,
coref_resolved-137274943-15,coref_resolved,,It has risen 49.69% in 2025 and 48.59% over the year.,,,
other_only-141069649-0,other_only,Amazon,"A busy week for big tech earnings watchers—which these days is pretty much all investors, given the companies’ influence in markets —continued today, with results from Amazon.com ( AMZN ) and Apple ( AAPL ) now in the books.",,,
ceo_only-140725568-5,ceo_only,Musk,"And Musk has made $326 billion this year alone, which is more than the net worth of anyone else in the world.",,,
direct-138291031-20,direct,Tesla,Image Source: Zacks Investment Research Tesla confirmed its timeline for the production of the Optimus Humanoid robot.,,,
ceo_only-141109190-13,ceo_only,Apple,"CEO Elon Musk slammed New York City Mayor Zohran Mamdani ‘s plan to run city-owned grocery stores across the Big Apple’s five boroughs on Monday, reaffirming his prediction that robots and artificial intelligence (AI) will provide free goods and services.",,,
