sample_id,stratum,article_id,sent_idx,text,mentions_target,mentions_ceo,is_comparative,target_is_subject,resolved_by_anaphora,resolved_by_coref,is_boilerplate,char_len,anaphor_char_start,anaphor_char_end,pos,neg,neu,absa_text,absa_aspect,absa_pos,absa_neg,absa_neu
agree_strong-136502638-35,agree_strong,136502638,35,"Finally, there is no guarantee that the market will love new Lucid models as much as it loved Tesla's Model 3 and Model Y.",True,False,True,False,False,False,False,122,,,0.5167852640151978,0.011858569458127022,0.4713561534881592,"Finally, there is no guarantee that the market will love new Lucid models as much as it loved Tesla's Model 3 and Model Y.",Tesla,0.2574041187763214,0.05643661692738533,0.6861592531204224
agree_strong-136536279-31,agree_strong,136536279,31,"He writes, ""We continue to believe that TSLA will begin launching its Robotaxi capabilities across multiple cities (~25 cities over the next year) in the US & abroad over the next 12-18 months as the company goes all in on the AI vision…we believe the autonomous opportunity is worth $1 trillion alone for Tesla.",True,False,False,True,False,False,False,312,,,0.8061944246292114,0.007123310584574938,0.1866823136806488,"He writes, ""We continue to believe that TSLA will begin launching its Robotaxi capabilities across multiple cities (~25 cities over the next year) in the US & abroad over the next 12-18 months as the company goes all in on the AI vision…we believe the autonomous opportunity is worth $1 trillion alone for Tesla.",Tesla,0.2677328288555145,0.01427914947271347,0.7179880738258362
agree_strong-136541201-15,agree_strong,136541201,15,Read Also: Tesla Q2 Earnings Highlights: Revenue And Earnings Fall Short; New Models Still Set For 2025–2026,True,False,False,False,False,False,False,108,,,0.012965443544089794,0.9670265316963196,0.020007990300655365,Read Also: Tesla Q2 Earnings Highlights: Revenue And Earnings Fall Short; New Models Still Set For 2025–2026,Tesla,0.016185056418180466,0.5296409726142883,0.4541740119457245
agree_strong-136557730-13,agree_strong,136557730,13,Tesla's European sales declined sharply once again even though battery-electric vehicle registrations in the region were 39% higher.,True,False,False,True,False,False,False,132,,,0.007507088128477335,0.9754214882850647,0.01707148365676403,Tesla's European sales declined sharply once again even though battery-electric vehicle registrations in the region were 39% higher.,Tesla,0.00702448608353734,0.8624056577682495,0.13056981563568115
agree_strong-136557738-3,agree_strong,136557738,3,"This, he said, was why the German carmaker decided five years ago to overhaul its portfolio with the new, fully electric 'Neue Klasse' series, with which it hopes to catch up with EV pioneer Tesla .",True,False,False,False,False,False,False,198,,,0.6843627691268921,0.014208860695362091,0.3014284074306488,"This, he said, was why the German carmaker decided five years ago to overhaul its portfolio with the new, fully electric 'Neue Klasse' series, with which it hopes to catch up with EV pioneer Tesla .",Tesla,0.42239969968795776,0.29058530926704407,0.2870149612426758
agree_strong-136892565-0,agree_strong,136892565,0,"Oops, something went wrong Market Catalysts host Julie Hyman tracks several of the day's top trending stock tickers, including Intel ( INTC ) gains spurred by the Trump administration's consideration of a ""1-to-1"" chip policy, Wedbush's Dan Ives raising his price target on Tesla stock ( TSLA ) to $600 per share, and the Federal Aviation Administration (FAA) to slowly ease restrictions on Boeing ( BA ) 737 Max production.",True,False,False,True,False,False,False,424,,,0.7675411105155945,0.07379470020532608,0.15866413712501526,"Oops, something went wrong Market Catalysts host Julie Hyman tracks several of the day's top trending stock tickers, including Intel ( INTC ) gains spurred by the Trump administration's consideration of a ""1-to-1"" chip policy, Wedbush's Dan Ives raising his price target on Tesla stock ( TSLA ) to $600 per share, and the Federal Aviation Administration (FAA) to slowly ease restrictions on Boeing ( BA ) 737 Max production.",Tesla,0.26125213503837585,0.07183068990707397,0.6669171452522278
agree_strong-136907449-27,agree_strong,136907449,27,"However, a late-2025 volume ramp for an affordable, autonomy-ready Tesla could stabilize unit trends while reinforcing the company's software narrative, which is crucial for valuation.",True,False,False,True,False,False,False,184,,,0.9514090418815613,0.02279071882367134,0.025800157338380814,"However, a late-2025 volume ramp for an affordable, autonomy-ready Tesla could stabilize unit trends while reinforcing the company's software narrative, which is crucial for valuation.",Tesla,0.4079572260379791,0.007201455067843199,0.5848413705825806
agree_strong-136913563-63,agree_strong,136913563,63,"Since its inception, TSLA have increased by a mind-blowing 34k%.",True,False,False,True,False,False,False,64,,,0.9210605621337891,0.010287581011652946,0.06865183264017105,"Since its inception, TSLA have increased by a mind-blowing 34k%.",Tesla,0.7778195738792419,0.012531977146863937,0.20964853465557098
agree_strong-136933981-1,agree_strong,136933981,1,"Tesla Inc. (NASDAQ: TSLA ) has urged customers to lock in purchases ahead of the September 30 deadline for the Federal EV credit to avail the incentive, as Q3 deliveries look poised to exceed analyst estimates.",True,False,False,True,False,False,False,210,,,0.9305418729782104,0.03204430639743805,0.03741372749209404,"Tesla Inc. (NASDAQ: TSLA ) has urged customers to lock in purchases ahead of the September 30 deadline for the Federal EV credit to avail the incentive, as Q3 deliveries look poised to exceed analyst estimates.",Tesla,0.4858044683933258,0.007974407635629177,0.5062211751937866
agree_strong-137230896-7,agree_strong,137230896,7,"In her letter, Denholm posed a direct question to investors: ""Do you want to retain Elon as Tesla's CEO and motivate him to drive Tesla to become the leading provider of autonomous solutions and the most valuable company in the world?""",True,True,False,False,False,False,False,235,,,0.6161285638809204,0.011888744309544563,0.3719826936721802,"In her letter, Denholm posed a direct question to investors: ""Do you want to retain Elon as Tesla's CEO and motivate him to drive Tesla to become the leading provider of autonomous solutions and the most valuable company in the world?""",Tesla,0.2083931267261505,0.01624147593975067,0.77536541223526
agree_strong-137258402-27,agree_strong,137258402,27,Tesla continues to post substantial global delivery numbers.,True,False,False,True,False,False,False,60,,,0.9515584111213684,0.013850743882358074,0.034590866416692734,Tesla continues to post substantial global delivery numbers.,Tesla,0.9226952195167542,0.0025213982444256544,0.07478336989879608
agree_strong-137258403-15,agree_strong,137258403,15,"For the current fiscal year, ending in December, analysts expect TSLA’s EPS to decline 44.1% to $1.14 on a diluted basis.",True,False,False,True,False,False,False,121,,,0.013884133659303188,0.9705952405929565,0.015520594082772732,"For the current fiscal year, ending in December, analysts expect TSLA’s EPS to decline 44.1% to $1.14 on a diluted basis.",Tesla,0.011430797167122364,0.6332958936691284,0.35527336597442627
agree_strong-137258403-21,agree_strong,137258403,21,"On Oct. 27, Cantor Fitzgerald kept an “Overweight” rating on TSLA and raised the price target to $510 , implying a potential upside of 10.7% from current levels.",True,False,False,False,False,False,False,161,,,0.9507066607475281,0.023226911202073097,0.026066409423947334,"On Oct. 27, Cantor Fitzgerald kept an “Overweight” rating on TSLA and raised the price target to $510 , implying a potential upside of 10.7% from current levels.",Tesla,0.20337194204330444,0.008912130258977413,0.7877159118652344
agree_strong-137268570-23,agree_strong,137268570,23,"While Alphabet and Tesla have led recent gains, Apple's combination of stable growth, expanding margins, and massive user engagement make it one of the most dependable large-cap tech plays heading into 2025.",True,False,True,True,False,False,False,207,,,0.9106510877609253,0.012038616463541985,0.07731027901172638,"While Alphabet and Tesla have led recent gains, Apple's combination of stable growth, expanding margins, and massive user engagement make it one of the most dependable large-cap tech plays heading into 2025.",Tesla,0.14144574105739594,0.029051199555397034,0.8295031189918518
agree_strong-137277221-13,agree_strong,137277221,13,Tesla's comeback to the CIIE comes as its mainland sales fell 6 per cent year on year in the first nine months of 2025.,True,False,False,True,False,False,False,119,,,0.009728060103952885,0.9736107587814331,0.016661083325743675,Tesla's comeback to the CIIE comes as its mainland sales fell 6 per cent year on year in the first nine months of 2025.,Tesla,0.01040856633335352,0.43146076798439026,0.5581306219100952
