sample_id,label
disagree_plain-137591345-0,0.0
resolved-141041608-36,0.5
disagree_plain-139248418-1,-0.5
resolved-139223903-12,-0.5
disagree_comparative-141046304-18,0.0
absa_flat-137950136-6,0.5
resolved-136896900-7,0.5
disagree_plain-141051519-15,0.0
disagree_comparative-138316633-8,0.0
agree_weak-140457075-12,-0.5
disagree_plain-138290185-12,-0.5
disagree_plain-139196875-11,0.0
disagree_plain-141074956-29,-0.5
disagree_comparative-139926442-8,-1.0
agree_strong-138421159-6,0.5
agree_weak-141137161-0,0.5
absa_flat-139167808-2,-0.5
resolved-139563821-4,0.5
agree_strong-137884563-67,0.5
agree_weak-138316633-7,0.0
disagree_plain-140113423-14,0.5
resolved-137228485-30,1.0
absa_flat-140427269-12,0.0
agree_strong-139581434-12,1.0
disagree_comparative-141106143-10,0.5
agree_weak-138308812-3,-0.5
absa_flat-138723707-15,0.0
agree_weak-136865903-42,-0.5
disagree_comparative-139197273-6,-0.5
agree_weak-141084276-15,0.5
resolved-139558668-33,0.5
disagree_comparative-140420086-58,0.0
agree_weak-139908240-58,0.5
disagree_comparative-139579133-3,-0.5
disagree_comparative-140418488-4,0.0
disagree_plain-138300033-23,-0.5
disagree_comparative-136904020-4,0.0
agree_weak-140418488-45,-0.5
absa_flat-137247798-95,0.5
disagree_plain-137268551-12,-0.5
absa_flat-140735247-20,0.0
resolved-137258402-40,0.5
disagree_comparative-141144631-10,-0.5
disagree_plain-139178059-14,-0.5
absa_flat-141117195-173,0.0
agree_strong-137277221-13,-0.5
agree_weak-141043585-3,0.5
disagree_plain-141122355-304,0.0
resolved-137258403-14,-1.0
agree_strong-136892565-0,1.0
agree_weak-140035348-24,0.5
agree_strong-136907449-27,0.5
absa_flat-139196875-5,0.0
absa_flat-137592686-34,0.0
disagree_plain-139912041-21,-1.0
resolved-137258402-19,0.5
resolved-138307221-33,-0.5
disagree_comparative-141127411-5,0.0
disagree_plain-138307221-19,0.0
disagree_comparative-141069767-15,0.0
disagree_plain-140113423-3,-0.5
absa_flat-141103169-174,0.0
disagree_comparative-140454462-9,0.0
resolved-140035346-5,0.0
absa_flat-136502639-10,0.0
disagree_comparative-140763930-4,0.0
disagree_comparative-140735749-14,-0.5
agree_strong-140776174-20,-0.5
agree_strong-141057503-3,-0.5
agree_weak-137586697-18,0.5
agree_weak-136913567-14,0.0
disagree_comparative-140745243-3,-0.5
disagree_plain-141119691-23,-0.5
disagree_plain-140432727-31,-0.5
agree_weak-139210531-0,0.5
resolved-140736410-24,0.5
disagree_comparative-140431925-10,-0.5
absa_flat-141140361-10,0.0
disagree_plain-141107123-18,0.0
disagree_comparative-141063911-19,0.0
resolved-137589116-18,0.5
resolved-138299999-165,0.0
agree_strong-140443328-13,1.0
absa_flat-136507773-11,0.0
agree_weak-136913563-1,0.0
absa_flat-141056844-3,0.5
disagree_comparative-139563812-9,0.0
agree_strong-140723868-4,0.5
disagree_comparative-141053939-25,-0.5
resolved-136575290-12,0.0
absa_flat-138432280-5,-0.5
disagree_comparative-139909984-46,-0.5
disagree_comparative-138306068-44,0.0
agree_strong-141041608-6,-0.5
agree_weak-137228477-3,-0.5
disagree_plain-140736411-25,1.0
resolved-139557400-10,0.5
absa_flat-141129155-36,0.5
disagree_comparative-140724539-0,-0.5
disagree_comparative-141052875-3,0.5
disagree_plain-140741460-3,0.0
disagree_comparative-141052990-62,-0.5
resolved-138421158-20,-1.0
disagree_comparative-139590970-10,0.0
disagree_plain-139229529-20,-0.5
disagree_comparative-141082590-22,0.0
