sample_id,text,algorithm_claim,algorithm_substituted_text,about_tesla,substitution_correct,note
anaphora-140724565-1,"Socure , the leading trust infrastructure for global identity and risk intelligence, today announced the appointment of Mark Carter as the company's Chief Information Security Officer (CISO).","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Socure , the leading trust infrastructure for global identity and risk intelligence, today announced the appointment of Mark Carter as Tesla's Chief Information Security Officer (CISO).",,,
anaphora-138310190-64,"It was robots, robots, robots, but we'll leave it there.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla was robots, robots, robots, but we'll leave it there.",,,
anaphora-140754120-5,"It's a wonderful business,"" the investor said in his post.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla's a wonderful business,"" the investor said in his post.",,,
coref-140124518-36,"But if robotaxis ramp up globally over the next few years in a meaningful way, we could see that market account for a vast majority of the company's valuation, as Wood predicts.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"But if robotaxis ramp up globally over the next few years in a meaningful way, we could see that market account for a vast majority of Tesla's valuation, as Wood predicts.",,,
coref-141131616-12,"A 1 million unit annual target, if approached, would sit alongside robotaxis and FSD subscriptions as another route to recurring, software linked revenue that the Narrative already highlights.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-138290190-12,"As of 2025, the company’s annual income is only 30% of the $12.6 billion it was in 2022, its peak earnings year.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"As of 2025, Tesla's annual income is only 30% of the $12.6 billion it was in 2022, its peak earnings year.",,,
coref-141109938-3,"Whether it's investing in robotaxis, robotics, or space travel to Mars, these two companies offer no shortage of enticing growth prospects.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
ceo_only-141052996-30,"However, Musk has received criticism from economists and leaders for his comments.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-136851471-14,While Telo may someday embrace other markets — Marks said some small farmers are quite interested in the truck — the company considers those to be secondary.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",While Telo may someday embrace other markets — Marks said some small farmers are quite interested in the truck — Tesla considers those to be secondary.,,,
ceo_only-136476572-13,"Musk told Yahoo Finance the company's technology is ""designed for 80 [to] 90 minute shows"" and likened it to Broadway theater.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",,,,
anaphora-141129157-20,"Moreover, the company paid its latest quarterly dividend of $1.03 per share on July 13 to shareholders of record as of June 11.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Moreover, Tesla paid its latest quarterly dividend of $1.03 per share on July 13 to shareholders of record as of June 11.",,,
anaphora-141104220-25,"Ellison owns 41% of Oracle, a stake that has been boosted thanks to the company's aggressive buybacks in recent years.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Ellison owns 41% of Oracle, a stake that has been boosted thanks to Tesla's aggressive buybacks in recent years.",,,
coref-139187958-21,"As of Q4 2025, the company reported cash and equivalents of $44.1 billion.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"As of Q4 2025, Tesla reported cash and equivalents of $44.1 billion.",,,
ceo_only-139905684-19,It also claims Mr Musk had himself suggested turning OpenAI into a commercial venture.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141103169-113,"I think if you are an equipment maker or an equipment manufacturer, one of these companies, they are seeing amazing tailwinds right now, that could continue, and it is something to watch.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-141122355-108,And this allows us to scale AI compute using disaggregated electricity production.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,And this allows Tesla to scale AI compute using disaggregated electricity production.,,,
coref-141134037-27,"Musk has high hopes for the company's planned Optimus robots, which he plans to deploy in factories and as household assistants, but that technology also appears to be a long way from commercialization.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Musk has high hopes for Tesla's planned Optimus robots, which he plans to deploy in factories and as household assistants, but that technology also appears to be a long way from commercialization.",,,
ceo_only-139591720-12,"Fortunately for traders on SoFi and Robinhood, Musk weighed in on these concerns with a simple post on his platform X , formerly known as Twitter, on Tuesday:",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-139903984-8,It's really reliable.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's really reliable.,,,
anaphora-140771169-9,"It handles much of the driving, lane changes, traffic lights, and parking, but still requires the driver to stay alert and in control at all times.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla handles much of the driving, lane changes, traffic lights, and parking, but still requires the driver to stay alert and in control at all times.",,,
ceo_only-136522261-20,We do have a response from OpenAI saying this is this latest filing is consistent with Mr. Musk's ongoing pattern of what they call harassment.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-136882898-1,"The electric-vehicle (EV) maker sells mass-market cars like the Model 3 and Model Y, plus premium vehicles including the Model S, Model X, and Cybertruck.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla sells mass-market cars like the Model 3 and Model Y, plus premium vehicles including the Model S, Model X, and Cybertruck.",,,
coref-137228482-31,But the automaker needs some kind of breakthrough to justify its current valuation .,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,But Tesla needs some kind of breakthrough to justify its current valuation .,,,
anaphora-136581241-43,This approach essentially connects the company's big picture vision with the numbers behind its value.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",This approach essentially connects Tesla's big picture vision with the numbers behind its value.,,,
coref-141066276-27,"The company has higher gross profit of $4.75 Billion , which indicates 3.77x above the industry average, indicating stronger profitability and higher earnings from its core operations.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla has higher gross profit of $4.75 Billion , which indicates 3.77x above the industry average, indicating stronger profitability and higher earnings from its core operations.",,,
ceo_only-138304565-11,"Strategically, the move could give Musk tighter control over capital, technology development, and long-term infrastructure in all three companies — particularly around AI, which is increasingly central to his business strategy.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139588669-6,"For now, SpaceX's core business still rests on Falcon launches, Starship's role in government and commercial contracts and especially Starlink, which Musk has highlighted as the primary revenue engine.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-139247002-8,"While sales declined, the company saw demand pick up towards the end of the year, with wholesale sales up in December.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","While sales declined, Tesla saw demand pick up towards the end of the year, with wholesale sales up in December.",,,
coref-141109936-23,"But when they do join Musk in talking up the future, they match the lofty rhetoric of their boss, the world's richest man.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"But when Tesla do join Musk in talking up the future, they match the lofty rhetoric of their boss, the world's richest man.",,,
anaphora-137586696-6,It worked almost too well and the result was a plethora of advanced domestic electric vehicle makers that created a brutal price war.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla worked almost too well and the result was a plethora of advanced domestic electric vehicle makers that created a brutal price war.,,,
anaphora-137247656-77,It will be about who is remembered for building the road.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla will be about who is remembered for building the road.,,,
ceo_only-138291523-14,"""If Optimus is going to be a best-selling product, the AI ⁠must be trained as well as possible,"" he said, adding the planned spending ​gives him confidence that Musk's ""sometimes loose timelines will actually be honored.""",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-141135779-3,The rocket maker's quarterly filing showed Megapack purchases reached $329 million during the first half.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla's quarterly filing showed Megapack purchases reached $329 million during the first half.,,,
anaphora-141080219-29,"At roughly 17 times forward earnings, with EPS expected to grow 17.4% annually and the company exceptionally well positioned for the modern digital economy, Alphabet is difficult to overlook.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","At roughly 17 times forward earnings, with EPS expected to grow 17.4% annually and Tesla exceptionally well positioned for the modern digital economy, Alphabet is difficult to overlook.",,,
anaphora-139183653-45,It paid off right away.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla paid off right away.,,,
coref-136892573-14,"Wall Street analysts remain cautious, with most rating the stock a Hold.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Wall Street analysts remain cautious, with most rating Tesla a Hold.",,,
coref-139909134-21,"With Gigafactories ramping production and projects like robotaxis and Optimus taking shape, the company is positioning itself as a platform for the future.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"With Gigafactories ramping production and projects like robotaxis and Optimus taking shape, Tesla is positioning itself as a platform for the future.",,,
coref-137897187-13,It also hopes to earn regulatory approvals for supervised FSD in Europe in 2026 – hopefully as early as February.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla also hopes to earn regulatory approvals for supervised FSD in Europe in 2026 – hopefully as early as February.,,,
coref-139167808-14,This is not some sort of diversionary or reactive tactic by the company.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,This is not some sort of diversionary or reactive tactic by Tesla.,,,
anaphora-138306068-43,It’s about whether Musk can raise enough capital to stay in the AI race.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla’s about whether Musk can raise enough capital to stay in the AI race.,,,
anaphora-138507182-22,"Its drop arrives as Elon Musk ‘s electric car behemoth mounted one of its strongest rallies in recent memory, climbing almost 30% in the past month and achieving its best month overall since November 2004 and its strongest September ever.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla's drop arrives as Elon Musk ‘s electric car behemoth mounted one of its strongest rallies in recent memory, climbing almost 30% in the past month and achieving its best month overall since November 2004 and its strongest September ever.",,,
anaphora-136525621-19,"It's essentially a top luxury brand that sells extremely expensive vehicles, with some models going for millions of dollars.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla's essentially a top luxury brand that sells extremely expensive vehicles, with some models going for millions of dollars.",,,
ceo_only-140035346-30,"Musk claimed that the company only existed because of an alarming conversation about AI he had had with Google co-founder Larry Page, which made him believe that he needed to build a counterpoint or Page would doom humanity.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-136890592-0,"$63,282.00 $1,881.14 $609.64 $0.999553 $1.008 $75.82 $0.333874 $1.006 $56.88 $0.069947 $0.999862 $0.01255829 $9.19 $490.24 $395.66 $0.181663 $8.79 $54.84 $0.15909 $206.60 $0.998897 $0.999414 $0.096349 $1.33 $0.999847 $44.72 $1.13 $0.065221 $0.999734 $0.683689 $6.42 $1.00 $0.00000448 $4,302.35 $0.04871229 $3.48 $102.02 $1.14 $1.62 $200.94 $4,319.38 $0.054967 $0.00000182 $0.603053 $0.330963 $1.00 $1.17 $0.999055 $0.444091 $87.79 $0.995649 $0.998958 $0.763287 $1.94 $0.053264 $0.999231 $0.339299 $2.17 $1.00 $1.66 $0.00289804 $0.00000268 $1.17 $0.089141 $6.18 $106.16 $11.18 $1.22 $6.62 $1.11 $0.10588 $58.58 $0.085567 $1.53 $0.03161207 $0.073434 $0.274769 $6.77 $0.718773 $0.090276 $0.078579 $0.02528286 $0.998331 $1.045 $1.00 $1.26 $12.03 $2.24 $0.168163 $0.998583 $0.670463 $0.02683201 $0.00601461 $0.07522 $0.99809 $0.545734 $0.01187565 $1.15 $0.464495 $1.42 $4.57 $1.05 $0.00754776 $394.33 $0.430878 $0.408215 $0.252326 $0.00621176 $30.33 $0.00451111 $0.574156 $116.22 $0.999132 $0.996974 $0.01822076 $1.39 $139.24 $0.130619 $0.03971651 $0.950299 $15.18 $0.135858 $0.30938 $0.315688 $0.01763329 $0.560991 $0.02835217 $18.65 $0.00000028 $0.786352 $0.841055 $0.04063852 $103.54 $0.00004914 $53.34 $1.13 $0.00000026 $0.02126519 $0.299821 $0.073262 $64.41 $0.099199 $1.35 $0.122647 $32.11 $0.04244951 $0.991327 $0.197269 $0.77975 $0.326868 $0.998944 $0.998907 $11.99 $0.00422724 $0.102306 $0.0000023 $1.00 $0.087189 $0.073868 $0.064577 $0.00002039 $2,285.00 $0.00000092 $1.00 $1.095 $0.055106 $0.9985 $1.15 $53.14 $0.00786389 $0.153239 $1.34 $0.178291 $0.999099 $4.04 $0.404599 $0.620986 $0.00165677 $0.02572667 $1.00 $1.093 $1.15 $15.99 $0.158892 $0.52608 $0.0227616 $102.62 $1.64 $0.03312046 $0.997862 $1.63 $0.855844 $0.916234 $0.169814 $0.073537 $0.0014848 $0.146166 $0.01347311 $1.017 $0.424692 $0.140617 $0.303007 $0.141672 $0.136504 $0.138194 $0.00124398 $0.03581587 $1.00 $0.132822 $8.58 $0.386543 $0.01234333 $0.00000643 $1.29 $0.00627673 $0.130677 $0.063929 $0.453335 $13.05 $0.999676 $0.121981 $0.999151 $0.075476 $0.00302786 $0.265485 $0.0606 $1.67 $1.013 $0.083181 $0.232859 $0.287147 $0.337202 $0.328169 $1.75 $1.00 $3.20 $0.03869127 $0.195751 $0.998333 $0.999633 $0.14911 $4.68 $1.00 $75.42 $0.04766281 $0.06212 $1,027.12 $1.00 Elon Musk's artificial intelligence company xAI filed a federal lawsuit on Wednesday against OpenAI, accusing its rival of orchestrating a ""coordinated, unfair, and unlawful campaign"" to steal proprietary technology through targeted employee poaching.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-137649799-1,"CEO Elon Musk has made this shift a priority, and even part of his potential $1 trillion pay package rests on whether he delivers on some AV goals.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-138290179-11,"Um, and um, and obviously along that way we we're going to keep improving safety, driving down the cost of goods and um, and getting people access to anything they need uh without compromise.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Um, and um, and obviously along that way Tesla we're going to keep improving safety, driving down the cost of goods and um, and getting people access to anything they need uh without compromise.",,,
anaphora-138295577-21,"It will, he says, cut much of the need for human labor worldwide and “ eliminate poverty .”","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla will, he says, cut much of the need for human labor worldwide and “ eliminate poverty .”",,,
anaphora-137247656-26,It was a closed system — a rolling laboratory that no other automaker could match.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla was a closed system — a rolling laboratory that no other automaker could match.,,,
coref-141109936-20,"Their attention has shifted, but they are lagging behind Musk's enthusiasm for AI and robotics, most likely because those efforts aren't yet generating any real returns.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla's attention has shifted, but they are lagging behind Musk's enthusiasm for AI and robotics, most likely because those efforts aren't yet generating any real returns.",,,
anaphora-140466595-147,It reminded me that single stocks allow for tactical precision that broad asset classes simply cannot match in a fast-moving market.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla reminded me that single stocks allow for tactical precision that broad asset classes simply cannot match in a fast-moving market.,,,
anaphora-137591345-5,It maybe is just that this is a new generation of chip.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla maybe is just that this is a new generation of chip.,,,
anaphora-139581433-5,"It saddens me this is happening, the EV business is a great business and although the future may be autonomous, it might take some time.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla saddens me this is happening, the EV business is a great business and although the future may be autonomous, it might take some time.",,,
ceo_only-140443421-51,"Of course, SpaceX, Elon Musk’s glorious rocket… Elon Musk’s Space Exploration Technologies (NASDAQ:SPCX | SPCX Price Prediction) is continuing to rally.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-136888227-15,Any future success of that product could drive shares higher.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-138300032-11,A SpaceX-Tesla tie-up could align the EV maker's energy storage business with the data center in space idea as well.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,A SpaceX-Tesla tie-up could align Tesla's energy storage business with the data center in space idea as well.,,,
ceo_only-136529952-10,"""And, again, I've seen Elon's attacks to many other people, many friends of mine — everyone gets their period of time in his spotlight.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
